Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2013",,,,,,,,,,
,,,,,,,,,, release date: 2/9/2016
"SOURCE: 2013 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/econ/susb/methodology.html.",,,,,,,,,,
"For definitions, see http://www.census.gov/econ/susb/definitions.html.",,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
,,,,,,,,,,
,,,,,,,,,,
08,Colorado,06:  20-99,"9,792","12,295","349,378",G,"14,331,217",G,,
08,Colorado,07:  100-499,"2,633","6,285","273,092",G,"13,010,050",G,,
08,Colorado,08:  <500,"124,960","131,776","1,021,340",G,"42,827,814",G,,
08,Colorado,09:  500+,"3,127","23,099","1,069,635",G,"59,409,055",G,,
09,Connecticut,01:  Total,"71,714","88,498","1,473,605",G,"85,897,033",G,,
09,Connecticut,02:  0-4,"40,479","40,536","70,229",G,"3,312,227",G,,
09,Connecticut,03:  5-9,"12,642","12,770","82,761",G,"3,446,669",G,,
09,Connecticut,04:  10-19,"7,808","8,130","103,705",G,"4,662,077",G,,
09,Connecticut,05:  <20,"60,929","61,436","256,695",G,"11,420,973",G,,
09,Connecticut,06:  20-99,"6,835","8,208","247,294",G,"12,437,287",G,,
09,Connecticut,07:  100-499,"1,803","4,547","217,361",G,"11,491,287",G,,
09,Connecticut,08:  <500,"69,567","74,191","721,350",G,"35,349,547",G,,
09,Connecticut,09:  500+,"2,147","14,307","752,255",G,"50,547,486",G,,
10,Delaware,01:  Total,"19,400","24,151","382,128",G,"19,541,151",G,,
10,Delaware,02:  0-4,"10,641","10,678","17,077",H,"784,017",G,,
10,Delaware,03:  5-9,"2,951","3,000","19,382",G,"701,908",G,,
10,Delaware,04:  10-19,"1,963","2,058","26,002",G,"1,006,095",G,,
10,Delaware,05:  <20,"15,555","15,736","62,461",G,"2,492,020",G,,
10,Delaware,06:  20-99,"1,864","2,263","62,327",G,"2,586,282",G,,
10,Delaware,07:  100-499,633,"1,225","49,408",G,"2,439,817",G,,
10,Delaware,08:  <500,"18,052","19,224","174,196",G,"7,518,119",G,,
10,Delaware,09:  500+,"1,348","4,927","207,932",G,"12,023,032",G,,
11,District of Columbia,01:  Total,"17,304","21,919","491,130",G,"35,131,275",G,,
11,District of Columbia,02:  0-4,"8,052","8,071","14,096",G,"1,051,221",G,,
11,District of Columbia,03:  5-9,"2,658","2,676","17,495",G,"1,065,037",G,,
11,District of Columbia,04:  10-19,"1,892","1,936","24,410",G,"1,634,492",G,,
11,District of Columbia,05:  <20,"12,602","12,683","56,001",G,"3,750,750",G,,
11,District of Columbia,06:  20-99,"2,395","2,647","83,260",G,"5,151,516",G,,
11,District of Columbia,07:  100-499,977,"1,518","94,560",G,"5,883,450",G,,
11,District of Columbia,08:  <500,"15,974","16,848","233,821",G,"14,785,716",G,,
11,District of Columbia,09:  500+,"1,330","5,071","257,309",G,"20,345,559",G,,
12,Florida,01:  Total,"417,164","510,389","7,134,644",G,"294,142,009",G,,
12,Florida,02:  0-4,"286,014","286,268","445,249",H,"16,690,405",G,,
12,Florida,03:  5-9,"60,008","60,507","392,028",G,"13,502,063",G,,
12,Florida,04:  10-19,"33,545","34,858","444,892",G,"15,423,621",G,,
12,Florida,05:  <20,"379,567","381,633","1,282,169",G,"45,616,089",G,,
12,Florida,06:  20-99,"26,874","33,769","995,300",G,"36,767,865",G,,
12,Florida,07:  100-499,"6,239","16,751","806,684",G,"33,003,616",G,,
12,Florida,08:  <500,"412,680","432,153","3,084,153",G,"115,387,570",G,,
12,Florida,09:  500+,"4,484","78,236","4,050,491",G,"178,754,439",G,,
13,Georgia,01:  Total,"169,726","217,559","3,458,050",G,"154,628,032",G,,
13,Georgia,02:  0-4,"104,164","104,339","167,881",G,"6,460,319",G,,
13,Georgia,03:  5-9,"26,649","26,880","174,243",G,"5,865,293",G,,
13,Georgia,04:  10-19,"16,170","16,828","215,188",G,"7,585,575",G,,
13,Georgia,05:  <20,"146,983","148,047","557,312",G,"19,911,187",G,,
13,Georgia,06:  20-99,"14,774","18,568","535,732",G,"20,003,527",G,,
13,Georgia,07:  100-499,"3,995","9,585","428,549",G,"18,162,867",G,,
13,Georgia,08:  <500,"165,752","176,200","1,521,593",G,"58,077,581",G,,
13,Georgia,09:  500+,"3,974","41,359","1,936,457",G,"96,550,451",G,,
15,Hawaii,01:  Total,"25,017","31,622","502,530",G,"19,881,066",G,,
15,Hawaii,02:  0-4,"13,777","13,794","24,089",G,"942,630",G,,
15,Hawaii,03:  5-9,"4,507","4,579","29,602",G,"1,007,169",G,,
15,Hawaii,04:  10-19,"2,754","2,889","36,554",G,"1,269,513",G,,
15,Hawaii,05:  <20,"21,038","21,262","90,245",G,"3,219,312",G,,
15,Hawaii,06:  20-99,"2,419","3,385","93,375",G,"3,262,193",G,,
15,Hawaii,07:  100-499,619,"1,874","79,744",G,"3,037,559",G,,
15,Hawaii,08:  <500,"24,076","26,521","263,364",G,"9,519,064",G,,
15,Hawaii,09:  500+,941,"5,101","239,166",G,"10,362,002",G,,
16,Idaho,01:  Total,"36,212","43,124","509,986",G,"18,559,112",G,,
16,Idaho,02:  0-4,"22,163","22,188","34,965",H,"1,181,124",G,,
16,Idaho,03:  5-9,"5,852","5,899","38,618",G,"1,097,471",G,,
16,Idaho,04:  10-19,"3,496","3,691","46,166",G,"1,361,261",G,,
