"          Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2008",,,,,,,,,,
,,,,,,,,,,
"SOURCE: 2008 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
,,ENTERPRISE,,,,,ANNUAL,ANNUAL,,
FIPS,,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,,
CODE,AREA DESCRIPTION, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,,
38,North Dakota,2:   0-4,"10,053","10,064","16,663",G,"494,959",G,,
38,North Dakota,3:   5-9,"3,008","3,046","19,819",G,"529,170",G,,
38,North Dakota,4:   10-19,"1,972","2,111","26,226",G,"737,252",G,,
38,North Dakota,5:   <20,"15,033","15,221","62,708",G,"1,761,381",G,,
38,North Dakota,6:   20-99,"1,726","2,454","62,390",G,"1,904,876",G,,
38,North Dakota,7:   100-499,456,"1,283","53,896",G,"1,604,197",G,,
38,North Dakota,8:   <500,"17,215","18,958","178,994",G,"5,270,454",G,,
38,North Dakota,9:   500+,707,"2,600","125,912",G,"4,784,059",G,,
39,Ohio,1:   Total,"199,647","263,761","4,728,416",G,"182,093,270",G,,
39,Ohio,2:   0-4,"107,847","108,091","190,509",G,"6,275,579",G,,
39,Ohio,3:   5-9,"37,927","38,369","251,048",G,"7,343,731",G,,
39,Ohio,4:   10-19,"23,751","25,123","317,375",G,"10,045,579",G,,
39,Ohio,5:   <20,"169,525","171,583","758,932",G,"23,664,889",G,,
39,Ohio,6:   20-99,"21,252","27,998","808,701",G,"27,887,280",G,,
39,Ohio,7:   100-499,"5,053","14,736","707,146",G,"25,602,868",G,,
39,Ohio,8:   <500,"195,830","214,317","2,274,779",G,"77,155,037",G,,
39,Ohio,9:   500+,"3,817","49,444","2,453,637",G,"104,938,233",G,,
40,Oklahoma,1:   Total,"73,310","91,382","1,335,622",G,"47,993,796",G,,
40,Oklahoma,2:   0-4,"42,567","42,626","73,580",H,"2,353,621",G,,
40,Oklahoma,3:   5-9,"12,929","13,054","84,802",G,"2,403,654",G,,
40,Oklahoma,4:   10-19,"7,575","7,926","100,902",G,"3,024,115",G,,
40,Oklahoma,5:   <20,"63,071","63,606","259,284",G,"7,781,390",G,,
40,Oklahoma,6:   20-99,"6,619","8,715","247,811",G,"7,888,790",G,,
40,Oklahoma,7:   100-499,"1,623","4,662","207,602",G,"6,990,255",G,,
40,Oklahoma,8:   <500,"71,313","76,983","714,697",G,"22,660,435",G,,
40,Oklahoma,9:   500+,"1,997","14,399","620,925",G,"25,333,361",G,,
41,Oregon,1:   Total,"92,335","111,550","1,482,968",G,"56,824,167",G,,
41,Oregon,2:   0-4,"54,487","54,536","91,235",G,"2,849,935",G,,
41,Oregon,3:   5-9,"16,187","16,343","106,760",G,"2,958,947",G,,
41,Oregon,4:   10-19,"9,811","10,252","130,382",G,"3,835,188",G,,
41,Oregon,5:   <20,"80,485","81,131","328,377",G,"9,644,070",G,,
41,Oregon,6:   20-99,"7,867","10,390","287,567",G,"9,885,292",G,,
41,Oregon,7:   100-499,"1,887","5,848","222,467",G,"7,970,250",G,,
41,Oregon,8:   <500,"90,239","97,369","838,411",G,"27,499,612",G,,
41,Oregon,9:   500+,"2,096","14,181","644,557",G,"29,324,555",G,,
42,Pennsylvania,1:   Total,"237,055","303,115","5,231,026",G,"215,783,820",G,,
42,Pennsylvania,2:   0-4,"133,107","133,311","237,205",G,"7,924,733",G,,
42,Pennsylvania,3:   5-9,"43,818","44,251","288,476",G,"8,909,025",G,,
42,Pennsylvania,4:   10-19,"26,729","28,071","356,999",G,"12,233,563",G,,
42,Pennsylvania,5:   <20,"203,654","205,633","882,680",G,"29,067,321",G,,
42,Pennsylvania,6:   20-99,"23,848","30,366","901,676",G,"33,359,139",G,,
42,Pennsylvania,7:   100-499,"5,570","15,421","783,058",G,"29,986,729",G,,
42,Pennsylvania,8:   <500,"233,072","251,420","2,567,414",G,"92,413,189",G,,
42,Pennsylvania,9:   500+,"3,983","51,695","2,663,612",G,"123,370,631",G,,
44,Rhode Island,1:   Total,"25,818","29,759","433,562",G,"17,468,919",G,,
44,Rhode Island,2:   0-4,"15,006","15,031","25,300",H,"914,842",G,,
44,Rhode Island,3:   5-9,"4,282","4,314","28,083",G,"920,722",G,,
44,Rhode Island,4:   10-19,"2,654","2,751","35,568",G,"1,190,958",G,,
44,Rhode Island,5:   <20,"21,942","22,096","88,951",G,"3,026,522",G,,
44,Rhode Island,6:   20-99,"2,255","2,601","82,476",G,"3,061,052",G,,
44,Rhode Island,7:   100-499,627,"1,444","71,459",G,"2,649,909",G,,
44,Rhode Island,8:   <500,"24,824","26,141","242,886",G,"8,737,483",G,,
44,Rhode Island,9:   500+,994,"3,618","190,676",G,"8,731,436",H,,
45,South Carolina,1:   Total,"83,427","106,678","1,654,414",G,"55,089,431",G,,
45,South Carolina,2:   0-4,"46,865","46,935","82,479",G,"2,655,768",G,,
45,South Carolina,3:   5-9,"15,267","15,470","100,570",G,"2,721,946",G,,
45,South Carolina,4:   10-19,"9,176","9,638","121,987",G,"3,500,571",G,,
45,South Carolina,5:   <20,"71,308","72,043","305,036",G,"8,878,285",G,,
45,South Carolina,6:   20-99,"7,765","9,992","282,831",G,"8,439,232",G,,
45,South Carolina,7:   100-499,"1,990","5,290","221,975",G,"6,855,845",G,,
45,South Carolina,8:   <500,"81,063","87,325","809,842",G,"24,173,362",G,,
45,South Carolina,9:   500+,"2,364","19,353","844,572",G,"30,916,069",G,,
46,South Dakota,1:   Total,"21,797","25,689","337,816",G,"10,608,240",G,,
46,South Dakota,2:   0-4,"12,428","12,442","20,560",G,"591,742",G,,
46,South Dakota,3:   5-9,"3,838","3,879","25,353",G,"613,944",G,,
46,South Dakota,4:   10-19,"2,369","2,518","31,184",G,"805,697",G,,
46,South Dakota,5:   <20,"18,635","18,839","77,097",G,"2,011,383",G,,
46,South Dakota,6:   20-99,"1,880","2,570","68,754",G,"1,974,354",G,,
46,South Dakota,7:   100-499,542,"1,641","62,228",G,"1,942,450",G,,
46,South Dakota,8:   <500,"21,057","23,050","208,079",G,"5,928,187",G,,
46,South Dakota,9:   500+,740,"2,639","129,737",H,"4,680,053",H,,
47,Tennessee,1:   Total,"102,398","136,585","2,492,746",G,"90,853,613",G,,
47,Tennessee,2:   0-4,"55,082","55,218","101,018",G,"3,313,912",G,,
47,Tennessee,3:   5-9,"19,049","19,262","125,932",G,"3,687,511",G,,
47,Tennessee,4:   10-19,"11,866","12,511","158,175",G,"5,016,074",G,,
47,Tennessee,5:   <20,"85,997","86,991","385,125",G,"12,017,497",G,,
47,Tennessee,6:   20-99,"10,476","13,526","386,663",G,"13,494,933",G,,
47,Tennessee,7:   100-499,"2,866","7,616","346,415",G,"12,734,536",G,,
47,Tennessee,8:   <500,"99,339","108,133","1,118,203",G,"38,246,966",G,,
47,Tennessee,9:   500+,"3,059","28,452","1,374,543",G,"52,606,647",G,,
48,Texas,1:   Total,"396,412","522,336","9,231,955",G,"394,696,044",G,,
48,Texas,2:   0-4,"226,937","227,392","393,884",G,"16,672,843",G,,
48,Texas,3:   5-9,"71,004","71,837","466,629",G,"15,565,770",G,,
48,Texas,4:   10-19,"44,558","46,816","594,816",G,"20,595,958",G,,
48,Texas,5:   <20,"342,499","346,045","1,455,329",G,"52,834,571",G,,
48,Texas,6:   20-99,"39,337","50,833","1,499,596",G,"54,740,216",G,,
48,Texas,7:   100-499,"9,174","25,393","1,290,296",G,"52,821,447",G,,
48,Texas,8:   <500,"391,010","422,271","4,245,221",G,"160,396,234",G,,
48,Texas,9:   500+,"5,402","100,065","4,986,734",G,"234,299,810",G,,
49,Utah,1:   Total,"60,271","71,433","1,114,716",G,"39,438,430",G,,
49,Utah,2:   0-4,"36,451","36,483","54,933",H,"1,948,545",G,,
49,Utah,3:   5-9,"9,314","9,382","61,654",G,"1,710,804",G,,
49,Utah,4:   10-19,"6,142","6,379","81,621",G,"2,351,602",G,,
49,Utah,5:   <20,"51,907","52,244","198,208",G,"6,010,951",G,,
49,Utah,6:   20-99,"5,211","6,503","195,033",G,"6,353,639",G,,
49,Utah,7:   100-499,"1,294","2,892","147,290",G,"5,248,480",G,,
49,Utah,8:   <500,"58,412","61,639","540,531",G,"17,613,070",G,,
49,Utah,9:   500+,"1,859","9,794","574,185",G,"21,825,360",G,,
50,Vermont,1:   Total,"19,282","22,121","272,488",G,"9,467,118",G,,
50,Vermont,2:   0-4,"11,407","11,413","18,885",G,"655,702",G,,
50,Vermont,3:   5-9,"3,343","3,364","21,862",G,"638,837",G,,
50,Vermont,4:   10-19,"1,954","2,052","25,816",G,"780,617",G,,
50,Vermont,5:   <20,"16,704","16,829","66,563",G,"2,075,156",G,,
50,Vermont,6:   20-99,"1,550","2,059","54,183",G,"1,840,199",G,,
50,Vermont,7:   100-499,362,"1,052","43,781",G,"1,581,870",G,,
50,Vermont,8:   <500,"18,616","19,940","164,527",G,"5,497,225",G,,
50,Vermont,9:   500+,666,"2,181","107,961",G,"3,969,893",G,,
51,Virginia,1:   Total,"154,808","197,716","3,184,234",G,"138,926,921",G,,
51,Virginia,2:   0-4,"89,745","89,854","153,742",G,"5,762,146",G,,
51,Virginia,3:   5-9,"26,994","27,259","177,798",G,"5,809,512",G,,
51,Virginia,4:   10-19,"16,736","17,499","223,062",G,"7,973,845",G,,
51,Virginia,5:   <20,"133,475","134,612","554,602",G,"19,545,503",G,,
51,Virginia,6:   20-99,"14,385","18,172","526,659",G,"20,561,834",G,,
51,Virginia,7:   100-499,"3,645","9,654","463,935",G,"20,239,389",G,,
51,Virginia,8:   <500,"151,505","162,438","1,545,196",G,"60,346,726",G,,
51,Virginia,9:   500+,"3,303","35,278","1,639,038",G,"78,580,195",G,,
53,Washington,1:   Total,"150,991","182,207","2,536,645",G,"115,284,564",G,,
53,Washington,2:   0-4,"90,291","90,403","149,792",G,"5,301,084",G,,
53,Washington,3:   5-9,"26,182","26,407","172,440",G,"5,418,725",G,,
53,Washington,4:   10-19,"15,902","16,636","210,926",G,"7,245,845",G,,
53,Washington,5:   <20,"132,375","133,446","533,158",G,"17,965,654",G,,
53,Washington,6:   20-99,"12,691","16,393","463,798",G,"17,821,733",G,,
53,Washington,7:   100-499,"3,112","8,321","373,444",G,"15,978,631",G,,
53,Washington,8:   <500,"148,178","158,160","1,370,400",G,"51,766,018",G,,
53,Washington,9:   500+,"2,813","24,047","1,166,245",G,"63,518,546",G,,
54,West Virginia,1:   Total,"30,873","39,641","592,022",G,"19,168,311",G,,
54,West Virginia,2:   0-4,"16,410","16,455","30,858",G,"762,070",G,,
54,West Virginia,3:   5-9,"6,037","6,111","39,435",G,"925,803",G,,
54,West Virginia,4:   10-19,"3,601","3,796","47,501",G,"1,262,387",G,,
54,West Virginia,5:   <20,"26,048","26,362","117,794",G,"2,950,260",G,,
54,West Virginia,6:   20-99,"2,863","3,968","104,424",G,"3,153,727",G,,
54,West Virginia,7:   100-499,786,"2,235","89,888",G,"2,826,932",G,,
54,West Virginia,8:   <500,"29,697","32,565","312,106",G,"8,930,919",G,,
54,West Virginia,9:   500+,"1,176","7,076","279,916",G,"10,237,392",G,,
55,Wisconsin,1:   Total,"115,003","144,081","2,496,850",G,"95,115,917",G,,
55,Wisconsin,2:   0-4,"63,062","63,162","106,472",G,"3,592,385",G,,
55,Wisconsin,3:   5-9,"20,709","20,948","136,595",G,"3,890,308",G,,
55,Wisconsin,4:   10-19,"13,744","14,406","184,151",G,"5,462,001",G,,
55,Wisconsin,5:   <20,"97,515","98,516","427,218",G,"12,944,694",G,,
55,Wisconsin,6:   20-99,"12,251","16,213","463,166",G,"15,318,982",G,,
55,Wisconsin,7:   100-499,"2,792","8,206","403,976",G,"14,934,812",G,,
55,Wisconsin,8:   <500,"112,558","122,935","1,294,360",G,"43,198,488",G,,
55,Wisconsin,9:   500+,"2,445","21,146","1,202,490",G,"51,917,429",G,,
56,Wyoming,1:   Total,"18,104","20,785","221,971",G,"8,869,219",G,,
56,Wyoming,2:   0-4,"10,636","10,647","17,782",G,"639,052",G,,
56,Wyoming,3:   5-9,"3,170","3,192","20,716",G,"615,548",G,,
56,Wyoming,4:   10-19,"1,860","1,949","24,505",G,"806,284",G,,
56,Wyoming,5:   <20,"15,666","15,788","63,003",G,"2,060,884",G,,
56,Wyoming,6:   20-99,"1,408","1,866","46,619",G,"1,687,164",G,,
56,Wyoming,7:   100-499,387,868,"34,410",G,"1,320,140",G,,
56,Wyoming,8:   <500,"17,461","18,522","144,032",G,"5,068,188",G,,
56,Wyoming,9:   500+,643,"2,263","77,939",G,"3,801,031",G,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
