Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
09,Connecticut,01:  Total,"71,835","89,232","1,503,102",G,"92,555,072",G,,,,,
09,Connecticut,02:  0-4,"40,481","40,540","68,006",G,"3,407,131",G,,,,,
09,Connecticut,03:  5-9,"12,515","12,637","82,063",G,"3,569,320",G,,,,,
09,Connecticut,04:  10-19,"7,780","8,077","103,532",G,"4,924,332",G,,,,,
09,Connecticut,05:  <20,"60,776","61,254","253,601",G,"11,900,783",G,,,,,
09,Connecticut,06:  20-99,"6,997","8,356","255,092",G,"13,308,945",G,,,,,
09,Connecticut,07:  100-499,"1,861","4,621","227,095",G,"12,600,548",G,,,,,
09,Connecticut,08:  <500,"69,634","74,231","735,788",G,"37,810,276",G,,,,,
09,Connecticut,09:  500+,"2,201","15,001","767,314",G,"54,744,796",G,,,,,
10,Delaware,01:  Total,"20,048","24,852","397,385",G,"21,305,227",G,,,,,
10,Delaware,02:  0-4,"11,045","11,076","17,005",G,"845,191",G,,,,,
10,Delaware,03:  5-9,"3,013","3,054","19,804",G,"817,832",G,,,,,
10,Delaware,04:  10-19,"2,051","2,142","27,260",G,"1,111,755",G,,,,,
10,Delaware,05:  <20,"16,109","16,272","64,069",G,"2,774,778",G,,,,,
10,Delaware,06:  20-99,"1,960","2,361","67,805",G,"2,896,490",G,,,,,
10,Delaware,07:  100-499,614,"1,180","48,305",G,"2,435,148",G,,,,,
10,Delaware,08:  <500,"18,683","19,813","180,179",G,"8,106,416",G,,,,,
10,Delaware,09:  500+,"1,365","5,039","217,206",G,"13,198,811",G,,,,,
11,District of Columbia,01:  Total,"17,832","22,553","513,002",G,"38,445,917",G,,,,,
11,District of Columbia,02:  0-4,"8,360","8,370","14,093",G,"1,172,399",G,,,,,
11,District of Columbia,03:  5-9,"2,727","2,742","18,074",G,"1,160,718",G,,,,,
11,District of Columbia,04:  10-19,"1,934","1,994","25,138",G,"1,738,605",G,,,,,
11,District of Columbia,05:  <20,"13,021","13,106","57,305",G,"4,071,722",G,,,,,
11,District of Columbia,06:  20-99,"2,413","2,639","85,952",G,"5,520,587",G,,,,,
11,District of Columbia,07:  100-499,"1,044","1,521","99,864",G,"6,951,310",G,,,,,
11,District of Columbia,08:  <500,"16,478","17,266","243,121",G,"16,543,619",G,,,,,
11,District of Columbia,09:  500+,"1,354","5,287","269,881",G,"21,902,298",G,,,,,
12,Florida,01:  Total,"435,582","532,830","7,777,990",G,"337,074,525",G,,,,,
12,Florida,02:  0-4,"298,378","298,690","451,465",G,"18,971,008",G,,,,,
12,Florida,03:  5-9,"61,515","62,001","402,356",G,"14,525,431",G,,,,,
12,Florida,04:  10-19,"35,401","36,589","470,611",G,"17,271,594",G,,,,,
12,Florida,05:  <20,"395,294","397,280","1,324,432",G,"50,768,033",G,,,,,
12,Florida,06:  20-99,"29,066","35,562","1,085,348",G,"41,970,145",G,,,,,
12,Florida,07:  100-499,"6,561","17,040","871,020",G,"38,341,857",G,,,,,
12,Florida,08:  <500,"430,921","449,882","3,280,800",G,"131,080,035",G,,,,,
12,Florida,09:  500+,"4,661","82,948","4,497,190",G,"205,994,490",G,,,,,
13,Georgia,01:  Total,"174,802","224,593","3,692,490",G,"174,839,354",G,,,,,
13,Georgia,02:  0-4,"107,193","107,338","167,973",G,"7,057,231",G,,,,,
13,Georgia,03:  5-9,"27,046","27,274","177,766",G,"6,386,401",G,,,,,
13,Georgia,04:  10-19,"16,578","17,172","220,626",G,"8,124,869",G,,,,,
13,Georgia,05:  <20,"150,817","151,784","566,365",G,"21,568,501",G,,,,,
13,Georgia,06:  20-99,"15,637","19,197","572,444",G,"22,414,490",G,,,,,
13,Georgia,07:  100-499,"4,164","9,812","458,128",G,"20,709,219",G,,,,,
13,Georgia,08:  <500,"170,618","180,793","1,596,937",G,"64,692,210",G,,,,,
13,Georgia,09:  500+,"4,184","43,800","2,095,553",G,"110,147,144",G,,,,,
15,Hawaii,01:  Total,"25,110","31,915","523,677",G,"22,068,393",G,,,,,
15,Hawaii,02:  0-4,"13,859","13,888","23,655",G,"1,018,983",G,,,,,
15,Hawaii,03:  5-9,"4,462","4,522","29,272",G,"1,061,689",G,,,,,
15,Hawaii,04:  10-19,"2,687","2,829","35,983",G,"1,301,723",G,,,,,
15,Hawaii,05:  <20,"21,008","21,239","88,910",G,"3,382,395",G,,,,,
15,Hawaii,06:  20-99,"2,496","3,455","95,636",G,"3,522,735",G,,,,,
15,Hawaii,07:  100-499,652,"1,953","86,794",G,"3,506,238",G,,,,,
15,Hawaii,08:  <500,"24,156","26,647","271,340",G,"10,411,368",G,,,,,
15,Hawaii,09:  500+,954,"5,268","252,337",G,"11,657,025",G,,,,,
16,Idaho,01:  Total,"37,507","44,757","546,524",G,"21,119,617",G,,,,,
16,Idaho,02:  0-4,"22,652","22,675","35,396",G,"1,302,657",G,,,,,
16,Idaho,03:  5-9,"6,089","6,138","40,391",G,"1,194,810",G,,,,,
16,Idaho,04:  10-19,"3,732","3,911","49,215",G,"1,550,919",G,,,,,
16,Idaho,05:  <20,"32,473","32,724","125,002",G,"4,048,386",G,,,,,
16,Idaho,06:  20-99,"2,938","3,941","101,942",G,"3,512,525",G,,,,,
16,Idaho,07:  100-499,794,"2,062","77,756",G,"2,797,841",G,,,,,
16,Idaho,08:  <500,"36,205","38,727","304,700",G,"10,358,752",G,,,,,
16,Idaho,09:  500+,"1,302","6,030","241,824",G,"10,760,865",G,,,,,
17,Illinois,01:  Total,"256,016","318,266","5,427,549",G,"289,183,546",G,,,,,
17,Illinois,02:  0-4,"157,745","157,974","242,072",G,"11,314,870",G,,,,,
