Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2011",,,,,,,, release date:12/2013,
,,,,,,,,,
"SOURCE: 2011 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
10,Delaware,2:   0-4,"10,855","10,947","17,338",G,"776,762",G,
10,Delaware,3:   5-9,"2,908","2,941","19,199",G,"691,851",G,
10,Delaware,4:   10-19,"1,940","2,040","25,884",G,"981,163",G,
10,Delaware,5:   <20,"15,703","15,928","62,421",G,"2,449,776",G,
10,Delaware,6:   20-99,"1,785","2,223","61,644",G,"2,582,189",G,
10,Delaware,7:   100-499,607,"1,164","43,440",G,"1,931,523",G,
10,Delaware,8:   <500,"18,095","19,315","167,505",G,"6,963,488",G,
10,Delaware,9:   500+,"1,377","4,817","192,097",G,"10,589,615",G,
11,District of Columbia,1:   Total,"16,968","21,545","477,623",G,"32,872,009",G,
11,District of Columbia,2:   0-4,"7,946","7,955","14,050",G,"1,090,444",G,
11,District of Columbia,3:   5-9,"2,629","2,648","17,215",G,"1,055,044",G,
11,District of Columbia,4:   10-19,"1,898","1,966","24,724",G,"1,587,371",G,
11,District of Columbia,5:   <20,"12,473","12,569","55,989",G,"3,732,859",G,
11,District of Columbia,6:   20-99,"2,193","2,448","76,285",G,"4,654,070",G,
11,District of Columbia,7:   100-499,970,"1,493","91,593",G,"5,521,786",G,
11,District of Columbia,8:   <500,"15,636","16,510","223,867",G,"13,908,715",G,
11,District of Columbia,9:   500+,"1,332","5,035","253,756",G,"18,963,294",G,
12,Florida,1:   Total,"400,058","490,851","6,732,639",G,"265,463,630",G,
12,Florida,2:   0-4,"275,916","276,343","428,264",H,"15,580,717",G,
12,Florida,3:   5-9,"57,095","57,689","371,938",G,"12,475,924",G,
12,Florida,4:   10-19,"32,301","33,630","428,207",G,"14,271,147",G,
12,Florida,5:   <20,"365,312","367,662","1,228,409",G,"42,327,788",G,
12,Florida,6:   20-99,"24,602","31,011","909,286",G,"32,699,494",G,
12,Florida,7:   100-499,"5,803","16,374","741,046",G,"29,792,391",G,
12,Florida,8:   <500,"395,717","415,047","2,878,741",G,"104,819,673",G,
12,Florida,9:   500+,"4,341","75,804","3,853,898",G,"160,643,957",G,
13,Georgia,1:   Total,"167,589","214,635","3,328,033",G,"141,481,314",G,
13,Georgia,2:   0-4,"102,898","103,127","166,277",G,"6,019,351",G,
13,Georgia,3:   5-9,"26,554","26,830","173,599",G,"5,640,084",G,
13,Georgia,4:   10-19,"16,169","16,871","215,107",G,"7,194,179",G,
13,Georgia,5:   <20,"145,621","146,828","554,983",G,"18,853,614",G,
13,Georgia,6:   20-99,"14,209","17,705","513,137",G,"18,504,576",G,
13,Georgia,7:   100-499,"3,854","9,436","410,961",G,"16,693,379",G,
13,Georgia,8:   <500,"163,684","173,969","1,479,081",G,"54,051,569",G,
13,Georgia,9:   500+,"3,905","40,666","1,848,952",G,"87,429,745",G,
15,Hawaii,1:   Total,"24,934","31,472","485,548",G,"18,362,124",G,
15,Hawaii,2:   0-4,"13,851","13,901","24,583",G,"918,256",G,
15,Hawaii,3:   5-9,"4,484","4,564","29,316",G,"962,979",G,
15,Hawaii,4:   10-19,"2,679","2,830","35,492",G,"1,178,464",G,
15,Hawaii,5:   <20,"21,014","21,295","89,391",G,"3,059,699",G,
15,Hawaii,6:   20-99,"2,390","3,347","91,333",G,"3,084,777",G,
15,Hawaii,7:   100-499,599,"1,856","75,845",G,"2,808,475",G,
15,Hawaii,8:   <500,"24,003","26,498","256,569",G,"8,952,951",G,
15,Hawaii,9:   500+,931,"4,974","228,979",G,"9,409,173",G,
16,Idaho,1:   Total,"35,690","42,399","482,722",G,"16,889,380",G,
16,Idaho,2:   0-4,"21,983","22,006","34,538",G,"1,086,334",G,
16,Idaho,3:   5-9,"5,829","5,896","38,219",G,"1,038,417",G,
16,Idaho,4:   10-19,"3,397","3,591","44,358",G,"1,260,950",G,
16,Idaho,5:   <20,"31,209","31,493","117,115",G,"3,385,701",G,
16,Idaho,6:   20-99,"2,574","3,541","89,278",G,"2,806,622",G,
16,Idaho,7:   100-499,718,"2,141","65,640",G,"2,033,280",G,
16,Idaho,8:   <500,"34,501","37,175","272,033",G,"8,225,603",G,
16,Idaho,9:   500+,"1,189","5,224","210,689",G,"8,663,777",G,
17,Illinois,1:   Total,"251,850","312,437","5,038,462",G,"245,055,769",G,
17,Illinois,2:   0-4,"154,671","154,930","245,023",G,"10,368,059",G,
17,Illinois,3:   5-9,"39,988","40,481","262,088",G,"9,558,139",G,
17,Illinois,4:   10-19,"24,727","25,874","329,639",G,"12,833,369",G,
17,Illinois,5:   <20,"219,386","221,285","836,750",G,"32,759,567",G,
17,Illinois,6:   20-99,"22,208","27,729","829,962",G,"35,403,718",G,
17,Illinois,7:   100-499,"5,818","14,925","715,009",G,"33,864,184",G,
17,Illinois,8:   <500,"247,412","263,939","2,381,721",G,"102,027,469",G,
17,Illinois,9:   500+,"4,438","48,498","2,656,741",G,"143,028,300",G,
18,Indiana,1:   Total,"109,226","143,479","2,440,507",G,"94,650,570",G,
18,Indiana,2:   0-4,"60,650","60,742","104,973",G,"3,495,473",G,
18,Indiana,3:   5-9,"19,645","19,897","129,269",G,"3,774,370",G,
18,Indiana,4:   10-19,"12,326","12,970","164,141",G,"5,033,743",G,
18,Indiana,5:   <20,"92,621","93,609","398,383",G,"12,303,586",G,
18,Indiana,6:   20-99,"10,740","14,173","398,528",G,"13,807,637",G,
18,Indiana,7:   100-499,"2,888","8,531","360,206",G,"13,487,728",G,
18,Indiana,8:   <500,"106,249","116,313","1,157,117",G,"39,598,951",G,
18,Indiana,9:   500+,"2,977","27,166","1,283,390",G,"55,051,619",G,
19,Iowa,1:   Total,"62,669","80,113","1,263,665",G,"46,556,111",G,
19,Iowa,2:   0-4,"36,067","36,122","61,662",G,"1,854,062",G,
19,Iowa,3:   5-9,"10,751","10,891","70,350",G,"1,968,334",G,
19,Iowa,4:   10-19,"6,822","7,331","90,582",G,"2,711,619",G,
19,Iowa,5:   <20,"53,640","54,344","222,594",G,"6,534,015",G,
19,Iowa,6:   20-99,"5,660","8,442","211,375",G,"7,172,468",G,
19,Iowa,7:   100-499,"1,567","5,422","203,180",G,"7,561,537",G,
19,Iowa,8:   <500,"60,867","68,208","637,149",G,"21,268,020",G,
19,Iowa,9:   500+,"1,802","11,905","626,516",G,"25,288,091",G,
20,Kansas,1:   Total,"58,114","73,598","1,113,423",G,"43,733,944",G,
20,Kansas,2:   0-4,"33,005","33,069","56,995",G,"1,840,957",G,
20,Kansas,3:   5-9,"9,886","10,033","64,451",G,"1,898,883",G,
20,Kansas,4:   10-19,"6,126","6,452","81,081",G,"2,628,437",G,
20,Kansas,5:   <20,"49,017","49,554","202,527",G,"6,368,277",G,
20,Kansas,6:   20-99,"5,471","7,485","199,483",G,"7,092,950",G,
20,Kansas,7:   100-499,"1,598","4,505","186,935",G,"6,847,370",G,
20,Kansas,8:   <500,"56,086","61,544","588,945",G,"20,308,597",G,
20,Kansas,9:   500+,"2,028","12,054","524,478",G,"23,425,347",G,
21,Kentucky,1:   Total,"68,417","89,770","1,463,173",G,"54,351,979",G,
21,Kentucky,2:   0-4,"37,753","37,808","66,298",G,"2,039,967",G,
21,Kentucky,3:   5-9,"12,287","12,439","80,709",G,"2,267,506",G,
21,Kentucky,4:   10-19,"7,736","8,120","102,604",G,"3,058,552",G,
21,Kentucky,5:   <20,"57,776","58,367","249,611",G,"7,366,025",G,
21,Kentucky,6:   20-99,"6,475","8,655","233,451",G,"7,901,427",G,
21,Kentucky,7:   100-499,"1,800","5,249","206,600",G,"7,215,387",G,
21,Kentucky,8:   <500,"66,051","72,271","689,662",G,"22,482,839",G,
21,Kentucky,9:   500+,"2,366","17,499","773,511",G,"31,869,140",G,
22,Louisiana,1:   Total,"80,612","103,216","1,617,229",G,"65,771,545",G,
22,Louisiana,2:   0-4,"43,668","43,735","77,712",G,"2,834,879",G,
22,Louisiana,3:   5-9,"15,053","15,223","99,047",G,"3,083,305",G,
22,Louisiana,4:   10-19,"9,309","9,778","124,234",G,"4,062,857",G,
22,Louisiana,5:   <20,"68,030","68,736","300,993",G,"9,981,041",G,
22,Louisiana,6:   20-99,"8,444","11,065","324,465",G,"11,498,799",G,
22,Louisiana,7:   100-499,"1,977","5,336","250,516",G,"10,301,058",G,
22,Louisiana,8:   <500,"78,451","85,137","875,974",G,"31,780,898",G,
22,Louisiana,9:   500+,"2,161","18,079","741,255",G,"33,990,647",G,
23,Maine,1:   Total,"33,325","40,112","479,728",G,"17,764,334",G,
23,Maine,2:   0-4,"20,827","20,865","32,426",H,"1,131,760",G,
23,Maine,3:   5-9,"5,257","5,320","34,559",G,"1,041,560",G,
23,Maine,4:   10-19,"3,097","3,261","41,105",G,"1,265,365",G,
23,Maine,5:   <20,"29,181","29,446","108,090",G,"3,438,685",G,
23,Maine,6:   20-99,"2,497","3,417","91,658",G,"3,061,937",G,
23,Maine,7:   100-499,634,"2,387","80,898",G,"2,883,296",G,
23,Maine,8:   <500,"32,312","35,250","280,646",G,"9,383,918",G,
23,Maine,9:   500+,"1,013","4,862","199,082",G,"8,380,416",G,
24,Maryland,1:   Total,"106,613","133,248","2,104,022",G,"101,300,769",G,
24,Maryland,2:   0-4,"61,417","61,516","104,067",G,"4,346,789",G,
24,Maryland,3:   5-9,"18,063","18,268","118,594",G,"4,467,144",G,
24,Maryland,4:   10-19,"11,454","11,914","152,413",G,"6,071,107",G,
24,Maryland,5:   <20,"90,934","91,698","375,074",G,"14,885,040",G,
24,Maryland,6:   20-99,"10,314","12,568","385,371",G,"17,132,816",G,
24,Maryland,7:   100-499,"2,656","6,393","318,103",G,"15,104,865",G,
24,Maryland,8:   <500,"103,904","110,659","1,078,548",G,"47,122,721",G,
24,Maryland,9:   500+,"2,709","22,589","1,025,474",G,"54,178,048",G,
25,Massachusetts,1:   Total,"136,512","169,146","2,960,712",G,"165,193,320",G,
25,Massachusetts,2:   0-4,"80,088","80,311","135,509",G,"6,387,670",G,
25,Massachusetts,3:   5-9,"23,475","23,771","154,176",G,"6,355,436",G,
25,Massachusetts,4:   10-19,"14,222","14,854","189,761",G,"8,211,155",G,
25,Massachusetts,5:   <20,"117,785","118,936","479,446",G,"20,954,261",G,
25,Massachusetts,6:   20-99,"12,413","15,128","463,178",G,"22,907,600",G,
25,Massachusetts,7:   100-499,"3,290","8,547","426,824",G,"21,980,467",G,
25,Massachusetts,8:   <500,"133,488","142,611","1,369,448",G,"65,842,328",G,
25,Massachusetts,9:   500+,"3,024","26,535","1,591,264",G,"99,350,992",G,
26,Michigan,1:   Total,"172,115","217,344","3,379,035",G,"145,830,792",G,
26,Michigan,2:   0-4,"100,563","100,747","166,713",G,"6,316,152",G,
26,Michigan,3:   5-9,"30,424","30,832","199,739",G,"6,570,469",G,
26,Michigan,4:   10-19,"18,899","19,894","253,461",G,"8,763,918",G,
26,Michigan,5:   <20,"149,886","151,473","619,913",G,"21,650,539",G,
26,Michigan,6:   20-99,"15,536","20,612","587,099",G,"22,791,812",G,
26,Michigan,7:   100-499,"3,623","11,022","517,344",G,"21,665,957",G,
26,Michigan,8:   <500,"169,045","183,107","1,724,356",G,"66,108,308",G,
26,Michigan,9:   500+,"3,070","34,237","1,654,679",G,"79,722,484",G,
27,Minnesota,1:   Total,"116,697","144,606","2,393,746",G,"110,750,868",G,
27,Minnesota,2:   0-4,"70,169","70,271","107,580",G,"4,178,650",G,
