Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2012",,,,,,,,,,,,,,
,,,,,,,,,,,,,," release date: 6/22/2015, revised 2/9/2016"
"SOURCE: 2012 County Business Patterns and 2012 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
FIPS CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,"RECEIPTS       ($1,000)",RECEIPTS NOISE FLAG,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
05,Arkansas,09:  500+,"1,696","11,284","501,473",G,"20,834,122",G,"148,917,815",G,,,,
06,California,01:  Total,"701,899","864,913","12,952,818",G,"700,102,379",G,"3,749,505,664",G,,,,
06,California,02:  0-4,"436,757","437,318","712,850",G,"37,841,519",G,"204,010,002",G,,,,
06,California,03:  5-9,"117,715","119,064","773,052",G,"29,215,350",G,"151,990,831",G,,,,
06,California,04:  10-19,"70,246","74,204","936,632",G,"37,030,332",G,"181,604,873",G,,,,
06,California,05:  <20,"624,718","630,586","2,422,534",G,"104,087,201",G,"537,605,706",G,,,,
06,California,06:  20-99,"59,465","77,440","2,255,052",G,"99,988,496",G,"480,748,320",G,,,,
06,California,07:  100-499,"12,056","37,047","1,794,022",G,"92,596,897",G,"474,721,264",G,,,,
06,California,08:  <500,"696,239","745,073","6,471,608",G,"296,672,594",G,"1,493,075,290",G,,,,
06,California,09:  500+,"5,660","119,840","6,481,210",G,"403,429,785",G,"2,256,430,374",G,,,,
08,Colorado,01:  Total,"126,478","153,112","2,035,803",G,"97,691,175",G,"524,803,083",G,,,,
08,Colorado,02:  0-4,"81,649","81,741","122,976",H,"5,115,870",G,"28,057,676",G,,,,
08,Colorado,03:  5-9,"18,581","18,749","121,836",G,"4,380,515",G,"20,097,462",G,,,,
08,Colorado,04:  10-19,"11,166","11,632","147,517",G,"5,441,010",G,"24,511,089",G,,,,
08,Colorado,05:  <20,"111,396","112,122","392,329",G,"14,937,395",G,"72,666,227",G,,,,
08,Colorado,06:  20-99,"9,427","12,147","336,966",G,"13,618,345",G,"62,284,118",G,,,,
08,Colorado,07:  100-499,"2,612","6,216","262,247",G,"12,372,998",G,"56,549,610",G,,,,
08,Colorado,08:  <500,"123,435","130,485","991,542",G,"40,928,738",G,"191,499,955",G,,,,
08,Colorado,09:  500+,"3,043","22,627","1,044,261",G,"56,762,437",G,"333,303,128",G,,,,
09,Connecticut,01:  Total,"71,584","88,210","1,463,732",G,"84,561,759",G,"570,908,740",G,,,,
09,Connecticut,02:  0-4,"40,289","40,343","70,728",G,"3,210,799",G,"25,016,006",G,,,,
09,Connecticut,03:  5-9,"12,731","12,867","83,679",G,"3,455,712",G,"15,847,822",G,,,,
09,Connecticut,04:  10-19,"7,837","8,168","103,669",G,"4,680,357",G,"20,917,532",G,,,,
09,Connecticut,05:  <20,"60,857","61,378","258,076",G,"11,346,868",G,"61,781,360",G,,,,
09,Connecticut,06:  20-99,"6,808","8,299","248,434",G,"12,484,633",G,"65,957,263",G,,,,
09,Connecticut,07:  100-499,"1,799","4,582","213,894",G,"11,259,773",G,"95,454,670",H,,,,
09,Connecticut,08:  <500,"69,464","74,259","720,404",G,"35,091,274",G,"223,193,293",G,,,,
09,Connecticut,09:  500+,"2,120","13,951","743,328",G,"49,470,485",G,"347,715,447",G,,,,
10,Delaware,01:  Total,"19,111","23,861","363,688",G,"18,315,395",G,"141,021,313",G,,,,
10,Delaware,02:  0-4,"10,421","10,457","16,956",G,"699,473",G,"4,786,469",G,,,,
10,Delaware,03:  5-9,"2,933","2,982","19,309",G,"705,774",G,"4,054,660",G,,,,
10,Delaware,04:  10-19,"1,938","2,037","25,720",G,"950,299",G,"3,766,755",G,,,,
10,Delaware,05:  <20,"15,292","15,476","61,985",G,"2,355,546",G,"12,607,884",G,,,,
10,Delaware,06:  20-99,"1,817","2,260","60,681",G,"2,506,999",G,"11,921,220",G,,,,
10,Delaware,07:  100-499,639,"1,207","45,669",G,"2,227,841",G,"8,937,310",G,,,,
10,Delaware,08:  <500,"17,748","18,943","168,335",G,"7,090,386",G,"33,466,414",G,,,,
10,Delaware,09:  500+,"1,363","4,918","195,353",G,"11,225,009",G,"107,554,899",G,,,,
11,District of Columbia,01:  Total,"17,123","21,592","482,838",G,"33,863,527",G,"213,455,768",H,,,,
11,District of Columbia,02:  0-4,"7,931","7,941","14,068",G,"1,077,570",G,"4,397,742",G,,,,
11,District of Columbia,03:  5-9,"2,629","2,648","17,372",G,"1,098,417",G,"3,855,643",G,,,,
11,District of Columbia,04:  10-19,"1,874","1,924","24,207",G,"1,569,008",G,"5,386,672",G,,,,
11,District of Columbia,05:  <20,"12,434","12,513","55,647",G,"3,744,995",G,"13,640,057",G,,,,
11,District of Columbia,06:  20-99,"2,392","2,668","82,030",G,"5,081,694",G,"18,162,831",G,,,,
11,District of Columbia,07:  100-499,959,"1,479","91,748",G,"5,610,696",G,"19,285,082",G,,,,
11,District of Columbia,08:  <500,"15,785","16,660","229,425",G,"14,437,385",G,"51,087,970",G,,,,
11,District of Columbia,09:  500+,"1,338","4,932","253,413",G,"19,426,142",G,"162,367,798",H,,,,
12,Florida,01:  Total,"409,368","502,414","6,932,382",G,"280,304,784",G,"1,468,887,755",G,,,,
12,Florida,02:  0-4,"281,327","281,673","438,796",H,"16,350,692",G,"105,208,451",G,,,,
12,Florida,03:  5-9,"58,997","59,528","385,591",G,"13,041,846",G,"68,547,420",G,,,,
12,Florida,04:  10-19,"32,450","34,020","430,638",G,"14,924,667",G,"70,148,909",G,,,,
12,Florida,05:  <20,"372,774","375,221","1,255,025",G,"44,317,205",G,"243,904,780",G,,,,
12,Florida,06:  20-99,"26,030","33,251","962,602",G,"35,724,746",G,"181,180,162",G,,,,
12,Florida,07:  100-499,"6,147","16,985","782,540",G,"31,665,936",G,"151,046,654",G,,,,
12,Florida,08:  <500,"404,951","425,457","3,000,167",G,"111,707,887",G,"576,131,596",G,,,,
12,Florida,09:  500+,"4,417","76,957","3,932,215",G,"168,596,897",G,"892,756,159",G,,,,
13,Georgia,01:  Total,"168,614","216,308","3,390,540",G,"149,290,810",G,"933,922,224",G,,,,
13,Georgia,02:  0-4,"103,541","103,676","167,207",G,"6,254,445",G,"43,219,544",G,,,,
13,Georgia,03:  5-9,"26,590","26,886","174,440",G,"5,783,818",G,"30,577,251",G,,,,
13,Georgia,04:  10-19,"15,977","16,724","211,955",G,"7,324,002",G,"36,020,790",G,,,,
13,Georgia,05:  <20,"146,108","147,286","553,602",G,"19,362,265",G,"109,817,585",G,,,,
13,Georgia,06:  20-99,"14,590","18,548","525,656",G,"19,595,071",G,"99,122,950",G,,,,
13,Georgia,07:  100-499,"3,983","9,690","421,252",G,"17,639,366",G,"103,383,544",G,,,,
13,Georgia,08:  <500,"164,681","175,524","1,500,510",G,"56,596,702",G,"312,324,079",G,,,,
13,Georgia,09:  500+,"3,933","40,784","1,890,030",G,"92,694,108",G,"621,598,145",G,,,,
15,Hawaii,01:  Total,"24,923","31,496","492,089",G,"19,078,553",G,"100,138,677",G,,,,
15,Hawaii,02:  0-4,"13,843","13,868","24,403",G,"957,934",G,"5,104,972",G,,,,
15,Hawaii,03:  5-9,"4,475","4,542","29,541",G,"992,538",G,"4,296,013",G,,,,
15,Hawaii,04:  10-19,"2,653","2,819","35,233",G,"1,204,379",G,"5,129,197",G,,,,
15,Hawaii,05:  <20,"20,971","21,229","89,177",G,"3,154,851",G,"14,530,182",G,,,,
15,Hawaii,06:  20-99,"2,415","3,416","91,959",G,"3,186,860",G,"13,316,525",G,,,,
