Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2009",,,,,,,, release date:11/2011,,
,,,,,,,,,,
"SOURCE: 2009 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
37,North Carolina,2:   0-4,"100,226","100,402","170,059",G,"5,271,361",G,,
37,North Carolina,3:   5-9,"29,242","29,609","191,739",G,"5,553,390",G,,
37,North Carolina,4:   10-19,"18,000","19,005","238,880",G,"7,157,606",G,,
37,North Carolina,5:   <20,"147,468","149,016","600,678",G,"17,982,357",G,,
37,North Carolina,6:   20-99,"15,371","20,388","562,116",G,"17,491,512",G,,
37,North Carolina,7:   100-499,"3,547","10,799","422,225",G,"14,977,657",G,,
37,North Carolina,8:   <500,"166,386","180,203","1,585,019",G,"50,451,526",G,,
37,North Carolina,9:   500+,"3,412","38,784","1,768,912",G,"73,871,702",G,,
38,North Dakota,1:   Total,"17,845","21,445","296,083",G,"10,045,929",G,,
38,North Dakota,2:   0-4,"9,994","10,003","16,520",G,"490,525",G,,
38,North Dakota,3:   5-9,"3,004","3,044","19,797",G,"545,672",G,,
38,North Dakota,4:   10-19,"1,956","2,082","26,045",G,"767,876",G,,
38,North Dakota,5:   <20,"14,954","15,129","62,362",G,"1,804,073",G,,
38,North Dakota,6:   20-99,"1,734","2,478","62,782",G,"1,933,932",G,,
38,North Dakota,7:   100-499,449,"1,290","53,180",G,"1,613,941",G,,
38,North Dakota,8:   <500,"17,137","18,897","178,324",G,"5,351,946",G,,
38,North Dakota,9:   500+,708,"2,548","117,759",G,"4,693,983",G,,
39,Ohio,1:   Total,"192,796","256,551","4,460,553",G,"171,930,795",G,,
39,Ohio,2:   0-4,"104,867","105,060","185,716",G,"5,824,223",G,,
39,Ohio,3:   5-9,"36,383","36,877","239,798",G,"6,998,812",G,,
39,Ohio,4:   10-19,"22,898","24,295","306,139",G,"9,573,918",G,,
39,Ohio,5:   <20,"164,148","166,232","731,653",G,"22,396,953",G,,
39,Ohio,6:   20-99,"20,163","26,756","758,540",G,"25,624,309",G,,
39,Ohio,7:   100-499,"4,788","14,170","649,999",G,"23,305,870",G,,
39,Ohio,8:   <500,"189,099","207,158","2,140,192",G,"71,327,132",G,,
39,Ohio,9:   500+,"3,697","49,393","2,320,361",G,"100,603,663",G,,
40,Oklahoma,1:   Total,"72,243","90,347","1,290,278",G,"45,238,063",G,,
40,Oklahoma,2:   0-4,"41,831","41,896","73,193",G,"2,272,052",G,,
40,Oklahoma,3:   5-9,"12,757","12,897","83,229",G,"2,346,667",G,,
40,Oklahoma,4:   10-19,"7,619","8,005","101,233",G,"2,953,737",G,,
40,Oklahoma,5:   <20,"62,207","62,798","257,655",G,"7,572,456",G,,
40,Oklahoma,6:   20-99,"6,467","8,498","243,602",G,"7,554,951",G,,
40,Oklahoma,7:   100-499,"1,582","4,714","189,759",G,"6,559,276",G,,
40,Oklahoma,8:   <500,"70,256","76,010","691,016",G,"21,686,683",G,,
40,Oklahoma,9:   500+,"1,987","14,337","599,262",G,"23,551,380",G,,
41,Oregon,1:   Total,"88,753","108,040","1,363,826",G,"53,367,462",G,,
41,Oregon,2:   0-4,"53,489","53,562","89,214",G,"2,748,232",G,,
41,Oregon,3:   5-9,"15,169","15,322","99,843",G,"2,809,629",G,,
41,Oregon,4:   10-19,"9,199","9,689","122,167",G,"3,654,383",G,,
41,Oregon,5:   <20,"77,857","78,573","311,224",G,"9,212,244",G,,
41,Oregon,6:   20-99,"7,055","9,556","254,595",G,"8,717,104",G,,
41,Oregon,7:   100-499,"1,769","5,864","201,190",G,"7,262,487",G,,
41,Oregon,8:   <500,"86,681","93,993","767,009",G,"25,191,835",G,,
41,Oregon,9:   500+,"2,072","14,047","596,817",G,"28,175,627",G,,
42,Pennsylvania,1:   Total,"232,755","298,432","5,044,648",G,"209,778,064",G,,
42,Pennsylvania,2:   0-4,"132,060","132,279","234,792",G,"7,564,665",G,,
42,Pennsylvania,3:   5-9,"42,623","43,104","279,506",G,"8,639,326",G,,
42,Pennsylvania,4:   10-19,"26,124","27,461","349,102",G,"11,875,676",G,,
42,Pennsylvania,5:   <20,"200,807","202,844","863,400",G,"28,079,667",G,,
42,Pennsylvania,6:   20-99,"22,711","29,083","855,877",G,"31,435,680",G,,
42,Pennsylvania,7:   100-499,"5,282","15,164","725,881",G,"27,871,911",G,,
42,Pennsylvania,8:   <500,"228,800","247,091","2,445,158",G,"87,387,258",G,,
42,Pennsylvania,9:   500+,"3,955","51,341","2,599,490",G,"122,390,806",G,,
44,Rhode Island,1:   Total,"24,845","28,682","413,584",G,"16,775,718",G,,
44,Rhode Island,2:   0-4,"14,447","14,460","23,653",G,"876,271",G,,
44,Rhode Island,3:   5-9,"3,931","3,972","25,640",G,"843,019",G,,
44,Rhode Island,4:   10-19,"2,768","2,851","37,077",G,"1,221,606",G,,
44,Rhode Island,5:   <20,"21,146","21,283","86,370",G,"2,940,896",G,,
44,Rhode Island,6:   20-99,"2,083","2,435","75,280",G,"2,772,675",G,,
44,Rhode Island,7:   100-499,608,"1,386","66,832",G,"2,448,612",G,,
44,Rhode Island,8:   <500,"23,837","25,104","228,482",G,"8,162,183",G,,
44,Rhode Island,9:   500+,"1,008","3,578","185,102",G,"8,613,535",H,,
45,South Carolina,1:   Total,"80,107","103,254","1,542,825",G,"51,720,724",G,,
45,South Carolina,2:   0-4,"45,732","45,847","80,114",G,"2,350,243",G,,
45,South Carolina,3:   5-9,"14,448","14,670","94,494",G,"2,548,319",G,,
45,South Carolina,4:   10-19,"8,504","8,979","113,017",G,"3,230,456",G,,
45,South Carolina,5:   <20,"68,684","69,496","287,625",G,"8,129,018",G,,
45,South Carolina,6:   20-99,"7,204","9,312","259,403",G,"7,825,150",G,,
45,South Carolina,7:   100-499,"1,893","5,181","203,119",G,"6,404,425",G,,
45,South Carolina,8:   <500,"77,781","83,989","750,147",G,"22,358,593",G,,
45,South Carolina,9:   500+,"2,326","19,265","792,678",G,"29,362,131",G,,
46,South Dakota,1:   Total,"21,573","25,483","330,517",G,"10,453,529",G,,
46,South Dakota,2:   0-4,"12,377","12,387","20,831",G,"586,399",G,,
46,South Dakota,3:   5-9,"3,725","3,774","24,523",G,"614,174",G,,
46,South Dakota,4:   10-19,"2,351","2,495","30,999",G,"831,570",G,,
46,South Dakota,5:   <20,"18,453","18,656","76,353",G,"2,032,143",G,,
46,South Dakota,6:   20-99,"1,853","2,552","66,707",G,"1,921,122",G,,
46,South Dakota,7:   100-499,526,"1,621","58,576",G,"1,836,457",G,,
46,South Dakota,8:   <500,"20,832","22,829","201,636",G,"5,789,722",G,,
46,South Dakota,9:   500+,741,"2,654","128,881",G,"4,663,807",G,,
47,Tennessee,1:   Total,"99,055","132,901","2,317,986",G,"86,220,358",G,,
47,Tennessee,2:   0-4,"54,058","54,152","98,729",G,"3,116,010",G,,
47,Tennessee,3:   5-9,"18,328","18,576","120,858",G,"3,534,801",G,,
47,Tennessee,4:   10-19,"11,225","11,873","149,413",G,"4,744,302",G,,
47,Tennessee,5:   <20,"83,611","84,601","369,000",G,"11,395,113",G,,
47,Tennessee,6:   20-99,"9,751","12,697","355,266",G,"12,537,234",G,,
47,Tennessee,7:   100-499,"2,701","7,580","313,704",G,"11,477,067",G,,
47,Tennessee,8:   <500,"96,063","104,878","1,037,970",G,"35,409,414",G,,
47,Tennessee,9:   500+,"2,992","28,023","1,280,016",G,"50,810,944",G,,
48,Texas,1:   Total,"392,378","519,028","8,925,096",G,"376,646,791",G,,
48,Texas,2:   0-4,"225,599","225,989","393,714",G,"15,744,833",G,,
48,Texas,3:   5-9,"70,517","71,382","462,776",G,"15,367,474",G,,
48,Texas,4:   10-19,"43,826","46,078","585,811",G,"19,923,930",G,,
48,Texas,5:   <20,"339,942","343,449","1,442,301",G,"51,036,237",G,,
48,Texas,6:   20-99,"38,385","49,813","1,455,345",G,"51,870,422",G,,
48,Texas,7:   100-499,"8,755","25,245","1,209,215",G,"48,726,256",G,,
48,Texas,8:   <500,"387,082","418,507","4,106,861",G,"151,632,915",G,,
48,Texas,9:   500+,"5,296","100,521","4,818,235",G,"225,013,876",G,,
49,Utah,1:   Total,"58,115","69,464","1,059,722",G,"37,848,144",G,,
49,Utah,2:   0-4,"35,793","35,837","52,929",H,"1,898,474",G,,
49,Utah,3:   5-9,"8,700","8,790","57,490",G,"1,604,919",G,,
49,Utah,4:   10-19,"5,720","5,968","75,860",G,"2,151,028",G,,
49,Utah,5:   <20,"50,213","50,595","186,279",G,"5,654,421",G,,
49,Utah,6:   20-99,"4,779","6,039","175,740",G,"5,800,709",G,,
49,Utah,7:   100-499,"1,260","2,910","134,890",G,"4,810,040",G,,
49,Utah,8:   <500,"56,252","59,544","496,909",G,"16,265,170",G,,
49,Utah,9:   500+,"1,863","9,920","562,813",G,"21,582,974",G,,
50,Vermont,1:   Total,"18,695","21,567","264,766",G,"9,085,060",G,,
50,Vermont,2:   0-4,"11,224","11,237","18,743",G,"641,945",G,,
50,Vermont,3:   5-9,"3,087","3,109","20,152",G,"598,431",G,,
50,Vermont,4:   10-19,"1,901","2,012","25,071",G,"756,918",G,,
50,Vermont,5:   <20,"16,212","16,358","63,966",G,"1,997,294",G,,
50,Vermont,6:   20-99,"1,450","2,008","50,769",G,"1,712,719",G,,
50,Vermont,7:   100-499,358,"1,067","42,829",G,"1,528,825",G,,
50,Vermont,8:   <500,"18,020","19,433","157,564",G,"5,238,838",G,,
50,Vermont,9:   500+,675,"2,134","107,202",G,"3,846,222",G,,
51,Virginia,1:   Total,"150,125","194,018","3,061,186",G,"137,138,223",G,,
51,Virginia,2:   0-4,"87,765","87,908","150,280",G,"5,388,113",G,,
51,Virginia,3:   5-9,"25,737","26,022","168,869",G,"5,589,441",G,,
51,Virginia,4:   10-19,"16,188","16,936","214,991",G,"7,615,918",G,,
51,Virginia,5:   <20,"129,690","130,866","534,140",G,"18,593,472",G,,
51,Virginia,6:   20-99,"13,712","17,530","498,750",G,"19,942,380",G,,
51,Virginia,7:   100-499,"3,461","9,439","426,472",G,"19,131,571",G,,
51,Virginia,8:   <500,"146,863","157,835","1,459,362",G,"57,667,423",G,,
51,Virginia,9:   500+,"3,262","36,183","1,601,824",G,"79,470,800",G,,
53,Washington,1:   Total,"145,612","177,276","2,385,282",G,"110,389,623",G,,
53,Washington,2:   0-4,"88,625","88,743","145,188",G,"5,055,302",G,,
53,Washington,3:   5-9,"25,010","25,280","163,882",G,"5,205,445",G,,
53,Washington,4:   10-19,"14,635","15,374","193,865",G,"6,666,886",G,,
53,Washington,5:   <20,"128,270","129,397","502,935",G,"16,927,633",G,,
53,Washington,6:   20-99,"11,592","15,258","418,311",G,"16,171,066",G,,
53,Washington,7:   100-499,"2,992","8,259","351,036",G,"14,920,422",G,,
53,Washington,8:   <500,"142,854","152,914","1,272,282",G,"48,019,121",G,,
53,Washington,9:   500+,"2,758","24,362","1,113,000",G,"62,370,502",G,,
54,West Virginia,1:   Total,"30,054","38,990","572,960",G,"18,864,009",G,,
54,West Virginia,2:   0-4,"16,006","16,027","30,161",G,"741,929",G,,
54,West Virginia,3:   5-9,"5,857","5,926","38,343",G,"917,546",G,,
54,West Virginia,4:   10-19,"3,470","3,656","46,130",G,"1,232,135",G,,
54,West Virginia,5:   <20,"25,333","25,609","114,634",G,"2,891,610",G,,
54,West Virginia,6:   20-99,"2,795","3,915","100,944",G,"2,991,578",G,,
54,West Virginia,7:   100-499,761,"2,263","90,133",G,"2,867,534",G,,
54,West Virginia,8:   <500,"28,889","31,787","305,711",G,"8,750,722",G,,
54,West Virginia,9:   500+,"1,165","7,203","267,249",G,"10,113,287",G,,
55,Wisconsin,1:   Total,"111,758","140,861","2,355,879",G,"89,374,061",G,,
55,Wisconsin,2:   0-4,"62,000","62,119","105,652",G,"3,408,535",G,,
55,Wisconsin,3:   5-9,"19,717","19,968","129,892",G,"3,680,282",G,,
55,Wisconsin,4:   10-19,"13,309","13,995","178,720",G,"5,198,735",G,,
55,Wisconsin,5:   <20,"95,026","96,082","414,264",G,"12,287,552",G,,
55,Wisconsin,6:   20-99,"11,666","15,700","437,723",G,"14,245,010",G,,
55,Wisconsin,7:   100-499,"2,655","7,921","369,533",G,"13,486,593",G,,
55,Wisconsin,8:   <500,"109,347","119,703","1,221,520",G,"40,019,155",G,,
55,Wisconsin,9:   500+,"2,411","21,158","1,134,359",G,"49,354,906",G,,
56,Wyoming,1:   Total,"17,716","20,360","214,715",G,"8,244,330",G,,
56,Wyoming,2:   0-4,"10,472","10,485","17,849",H,"593,789",G,,
56,Wyoming,3:   5-9,"3,048","3,076","19,742",G,"588,234",G,,
56,Wyoming,4:   10-19,"1,806","1,876","23,792",G,"726,480",G,,
56,Wyoming,5:   <20,"15,326","15,437","61,383",G,"1,908,503",G,,
56,Wyoming,6:   20-99,"1,336","1,799","44,893",G,"1,529,730",G,,
56,Wyoming,7:   100-499,379,844,"32,858",G,"1,233,167",G,,
56,Wyoming,8:   <500,"17,041","18,080","139,134",G,"4,671,400",G,,
56,Wyoming,9:   500+,675,"2,280","75,581",G,"3,572,930",G,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
