Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2009",,,,,,,, release date:11/2011,,
,,,,,,,,,,
"SOURCE: 2009 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
09,Connecticut,8:   <500,"71,446","76,052","734,564",G,"34,336,491",G,,
09,Connecticut,9:   500+,"2,069","13,996","733,727",G,"43,690,234",G,,
10,Delaware,1:   Total,"19,741","24,523","370,846",G,"16,777,392",G,,
10,Delaware,2:   0-4,"10,972","10,995","17,917",G,"652,729",G,,
10,Delaware,3:   5-9,"2,982","3,020","19,541",G,"665,640",G,,
10,Delaware,4:   10-19,"1,930","2,051","25,601",G,"912,150",G,,
10,Delaware,5:   <20,"15,884","16,066","63,059",G,"2,230,519",G,,
10,Delaware,6:   20-99,"1,771","2,217","60,044",G,"2,415,682",G,,
10,Delaware,7:   100-499,681,"1,282","47,888",G,"1,984,895",G,,
10,Delaware,8:   <500,"18,336","19,565","170,991",G,"6,631,096",G,,
10,Delaware,9:   500+,"1,405","4,958","199,855",G,"10,146,296",G,,
11,District of Columbia,1:   Total,"16,728","21,210","466,550",G,"30,236,461",G,,
11,District of Columbia,2:   0-4,"7,820","7,829","13,957",G,"952,889",G,,
11,District of Columbia,3:   5-9,"2,664","2,682","17,517",G,"1,023,790",G,,
11,District of Columbia,4:   10-19,"1,818","1,866","23,503",G,"1,423,539",G,,
11,District of Columbia,5:   <20,"12,302","12,377","54,977",G,"3,400,218",G,,
11,District of Columbia,6:   20-99,"2,203","2,491","74,883",G,"4,256,508",G,,
11,District of Columbia,7:   100-499,966,"1,456","87,436",G,"4,999,630",G,,
11,District of Columbia,8:   <500,"15,471","16,324","217,296",G,"12,656,356",G,,
11,District of Columbia,9:   500+,"1,257","4,886","249,254",G,"17,580,105",G,,
12,Florida,1:   Total,"399,819","491,249","6,861,612",G,"253,360,443",G,,
12,Florida,2:   0-4,"274,647","275,028","429,477",H,"14,825,249",G,,
12,Florida,3:   5-9,"57,678","58,285","376,039",G,"12,181,815",G,,
