Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2010",,,,,,,, release date:10/2012,
,,,,,,,,,
"SOURCE: 2010 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
04,Arizona,6:   20-99,"8,434","10,659","305,709",G,"10,488,845",G,
04,Arizona,7:   100-499,"2,570","6,659","282,220",G,"10,724,886",G,
04,Arizona,8:   <500,"99,232","106,333","925,994",G,"32,552,404",G,
04,Arizona,9:   500+,"2,943","25,516","1,139,230",G,"51,477,908",G,
05,Arkansas,1:   Total,"51,072","65,158","965,474",G,"33,735,110",G,
05,Arkansas,2:   0-4,"29,233","29,288","50,583",G,"1,535,799",G,
05,Arkansas,3:   5-9,"8,988","9,070","58,962",G,"1,599,405",G,
05,Arkansas,4:   10-19,"5,611","5,885","74,163",G,"2,026,282",G,
05,Arkansas,5:   <20,"43,832","44,243","183,708",G,"5,161,486",G,
05,Arkansas,6:   20-99,"4,398","6,140","159,731",G,"4,776,468",G,
05,Arkansas,7:   100-499,"1,191","3,802","139,164",G,"4,397,712",G,
05,Arkansas,8:   <500,"49,421","54,185","482,603",G,"14,335,666",G,
05,Arkansas,9:   500+,"1,651","10,973","482,871",G,"19,399,444",G,
06,California,1:   Total,"690,454","849,875","12,536,402",G,"635,620,368",G,
06,California,2:   0-4,"430,767","431,635","705,881",G,"34,683,509",G,
06,California,3:   5-9,"114,578","116,119","751,207",G,"27,310,921",G,
06,California,4:   10-19,"70,439","74,142","939,042",G,"35,391,204",G,
06,California,5:   <20,"615,784","621,896","2,396,130",G,"97,385,634",G,
06,California,6:   20-99,"57,427","73,355","2,176,280",G,"92,056,922",G,
06,California,7:   100-499,"11,742","36,877","1,751,079",G,"83,765,930",G,
06,California,8:   <500,"684,953","732,128","6,323,489",G,"273,208,486",G,
06,California,9:   500+,"5,501","117,747","6,212,913",G,"362,411,882",G,
08,Colorado,1:   Total,"125,820","151,973","1,955,336",G,"89,244,945",G,
08,Colorado,2:   0-4,"81,800","81,876","123,115",G,"4,803,262",G,
08,Colorado,3:   5-9,"18,100","18,294","118,576",G,"4,089,319",G,
08,Colorado,4:   10-19,"11,590","12,056","153,533",G,"5,241,964",G,
08,Colorado,5:   <20,"111,490","112,226","395,224",G,"14,134,545",G,
08,Colorado,6:   20-99,"8,823","11,260","316,989",G,"12,278,557",G,
08,Colorado,7:   100-499,"2,499","6,161","249,181",G,"11,262,423",G,
08,Colorado,8:   <500,"122,812","129,647","961,394",G,"37,675,525",G,
08,Colorado,9:   500+,"3,008","22,326","993,942",G,"51,569,420",G,
09,Connecticut,1:   Total,"72,747","89,234","1,436,992",G,"79,918,588",G,
09,Connecticut,2:   0-4,"41,488","41,557","71,851",G,"3,146,198",G,
09,Connecticut,3:   5-9,"12,637","12,784","83,181",G,"3,382,136",G,
09,Connecticut,4:   10-19,"8,073","8,394","106,755",G,"4,651,163",G,
09,Connecticut,5:   <20,"62,198","62,735","261,787",G,"11,179,497",G,
09,Connecticut,6:   20-99,"6,672","8,131","242,301",G,"12,079,689",G,
09,Connecticut,7:   100-499,"1,776","4,347","209,547",G,"10,682,318",G,
09,Connecticut,8:   <500,"70,646","75,213","713,635",G,"33,941,504",G,
09,Connecticut,9:   500+,"2,101","14,021","723,357",G,"45,977,084",G,
10,Delaware,1:   Total,"19,679","24,290","359,007",G,"17,166,760",G,
10,Delaware,2:   0-4,"10,969","10,989","17,466",G,"809,958",G,
10,Delaware,3:   5-9,"2,940","2,972","19,307",G,"683,790",G,
10,Delaware,4:   10-19,"2,007","2,134","26,684",G,"944,169",G,
10,Delaware,5:   <20,"15,916","16,095","63,457",G,"2,437,917",G,
10,Delaware,6:   20-99,"1,735","2,139","58,673",G,"2,403,940",G,
10,Delaware,7:   100-499,656,"1,306","46,748",G,"1,992,479",G,
10,Delaware,8:   <500,"18,307","19,540","168,878",G,"6,834,336",G,
10,Delaware,9:   500+,"1,372","4,750","190,129",G,"10,332,424",G,
11,District of Columbia,1:   Total,"16,913","21,502","463,076",G,"30,987,176",G,
11,District of Columbia,2:   0-4,"7,972","7,981","14,191",G,"1,074,242",G,
11,District of Columbia,3:   5-9,"2,661","2,683","17,417",G,"1,085,490",G,
11,District of Columbia,4:   10-19,"1,854","1,908","23,912",G,"1,461,066",G,
11,District of Columbia,5:   <20,"12,487","12,572","55,520",G,"3,620,798",G,
11,District of Columbia,6:   20-99,"2,166","2,450","74,786",G,"4,504,550",G,
11,District of Columbia,7:   100-499,959,"1,470","86,817",G,"5,112,407",G,
11,District of Columbia,8:   <500,"15,612","16,492","217,123",G,"13,237,755",G,
11,District of Columbia,9:   500+,"1,301","5,010","245,953",G,"17,749,421",G,
12,Florida,1:   Total,"400,840","491,150","6,626,558",G,"252,973,227",G,
12,Florida,2:   0-4,"278,363","278,782","429,770",H,"15,516,579",G,
12,Florida,3:   5-9,"55,655","56,263","362,466",G,"11,984,958",G,
12,Florida,4:   10-19,"32,785","34,228","433,591",G,"14,002,915",G,
12,Florida,5:   <20,"366,803","369,273","1,225,827",G,"41,504,452",G,
12,Florida,6:   20-99,"23,856","30,086","877,638",G,"31,329,079",G,
12,Florida,7:   100-499,"5,856","16,593","736,626",G,"28,413,157",G,
12,Florida,8:   <500,"396,515","415,952","2,840,091",G,"101,246,688",G,
12,Florida,9:   500+,"4,325","75,198","3,786,467",G,"151,726,539",G,
13,Georgia,1:   Total,"170,245","217,099","3,315,274",G,"137,538,790",G,
13,Georgia,2:   0-4,"105,062","105,237","169,135",G,"6,027,455",G,
13,Georgia,3:   5-9,"26,471","26,778","173,288",G,"5,564,596",G,
13,Georgia,4:   10-19,"17,016","17,805","225,953",G,"7,296,347",G,
13,Georgia,5:   <20,"148,549","149,820","568,376",G,"18,888,398",G,
13,Georgia,6:   20-99,"13,933","17,384","501,443",G,"17,923,283",G,
13,Georgia,7:   100-499,"3,907","9,726","414,115",G,"16,329,389",G,
13,Georgia,8:   <500,"166,389","176,930","1,483,934",G,"53,141,070",G,
13,Georgia,9:   500+,"3,856","40,169","1,831,340",G,"84,397,720",G,
15,Hawaii,1:   Total,"25,383","31,939","478,838",G,"17,541,821",G,
15,Hawaii,2:   0-4,"14,184","14,225","25,090",G,"917,383",G,
15,Hawaii,3:   5-9,"4,460","4,531","29,235",G,"951,645",G,
15,Hawaii,4:   10-19,"2,884","3,052","38,426",G,"1,180,764",G,
15,Hawaii,5:   <20,"21,528","21,808","92,751",G,"3,049,792",G,
15,Hawaii,6:   20-99,"2,340","3,306","88,624",G,"3,010,148",G,
15,Hawaii,7:   100-499,600,"1,923","77,569",G,"2,742,202",G,
15,Hawaii,8:   <500,"24,468","27,037","258,944",G,"8,802,142",G,
15,Hawaii,9:   500+,915,"4,902","219,894",G,"8,739,679",G,
16,Idaho,1:   Total,"36,660","43,450","487,875",G,"16,235,999",G,
16,Idaho,2:   0-4,"22,619","22,659","36,135",G,"1,062,260",G,
16,Idaho,3:   5-9,"5,717","5,776","37,371",G,"978,521",G,
16,Idaho,4:   10-19,"3,813","4,003","50,121",G,"1,303,758",G,
16,Idaho,5:   <20,"32,149","32,438","123,627",G,"3,344,539",G,
16,Idaho,6:   20-99,"2,628","3,571","90,161",G,"2,747,910",G,
16,Idaho,7:   100-499,718,"2,158","67,712",G,"2,028,416",G,
16,Idaho,8:   <500,"35,495","38,167","281,500",G,"8,120,865",G,
16,Idaho,9:   500+,"1,165","5,283","206,375",G,"8,115,134",G,
17,Illinois,1:   Total,"253,612","314,171","4,980,011",G,"235,718,368",G,
17,Illinois,2:   0-4,"155,697","155,956","247,263",G,"10,241,376",G,
17,Illinois,3:   5-9,"39,988","40,460","261,969",G,"9,434,860",G,
17,Illinois,4:   10-19,"25,532","26,724","340,209",G,"12,730,094",G,
17,Illinois,5:   <20,"221,217","223,140","849,441",G,"32,406,330",G,
17,Illinois,6:   20-99,"22,233","28,028","823,544",G,"34,562,872",G,
17,Illinois,7:   100-499,"5,799","14,819","715,710",G,"32,739,429",G,
17,Illinois,8:   <500,"249,249","265,987","2,388,695",G,"99,708,631",G,
17,Illinois,9:   500+,"4,363","48,184","2,591,316",G,"136,009,737",G,
18,Indiana,1:   Total,"110,961","145,019","2,400,382",G,"90,398,935",G,
18,Indiana,2:   0-4,"61,802","61,913","106,325",G,"3,406,665",G,
18,Indiana,3:   5-9,"19,838","20,084","130,136",G,"3,716,266",G,
18,Indiana,4:   10-19,"12,977","13,684","173,432",G,"5,059,557",G,
18,Indiana,5:   <20,"94,617","95,681","409,893",G,"12,182,488",G,
18,Indiana,6:   20-99,"10,525","14,064","387,148",G,"13,192,646",G,
18,Indiana,7:   100-499,"2,908","8,544","359,509",G,"13,044,095",G,
18,Indiana,8:   <500,"108,050","118,289","1,156,550",G,"38,419,229",G,
18,Indiana,9:   500+,"2,911","26,730","1,243,832",G,"51,979,706",G,
19,Iowa,1:   Total,"63,402","80,801","1,253,095",G,"44,904,616",G,
19,Iowa,2:   0-4,"36,381","36,445","61,980",G,"1,832,032",G,
19,Iowa,3:   5-9,"10,704","10,849","69,948",G,"1,884,639",G,
19,Iowa,4:   10-19,"7,285","7,781","96,772",G,"2,744,488",G,
19,Iowa,5:   <20,"54,370","55,075","228,700",G,"6,461,159",G,
19,Iowa,6:   20-99,"5,688","8,483","211,393",G,"6,920,886",G,
19,Iowa,7:   100-499,"1,575","5,473","203,366",G,"7,191,421",G,
19,Iowa,8:   <500,"61,633","69,031","643,459",G,"20,573,466",G,
19,Iowa,9:   500+,"1,769","11,770","609,636",G,"24,331,150",G,
20,Kansas,1:   Total,"59,170","74,301","1,127,160",G,"42,686,303",G,
20,Kansas,2:   0-4,"33,675","33,727","58,346",G,"1,797,931",G,
20,Kansas,3:   5-9,"9,908","10,037","64,995",G,"1,849,340",G,
20,Kansas,4:   10-19,"6,443","6,812","85,363",G,"2,584,912",G,
20,Kansas,5:   <20,"50,026","50,576","208,704",G,"6,232,183",G,
20,Kansas,6:   20-99,"5,538","7,545","200,461",G,"7,005,547",G,
20,Kansas,7:   100-499,"1,609","4,490","185,458",G,"6,454,732",G,
20,Kansas,8:   <500,"57,173","62,611","594,623",G,"19,692,462",G,
20,Kansas,9:   500+,"1,997","11,690","532,537",G,"22,993,841",G,
21,Kentucky,1:   Total,"69,572","90,771","1,456,790",G,"52,246,863",G,
21,Kentucky,2:   0-4,"38,523","38,587","67,970",G,"2,014,025",G,
21,Kentucky,3:   5-9,"12,136","12,273","79,618",G,"2,204,949",G,
21,Kentucky,4:   10-19,"8,266","8,693","110,715",G,"3,111,758",G,
21,Kentucky,5:   <20,"58,925","59,553","258,303",G,"7,330,732",G,
21,Kentucky,6:   20-99,"6,518","8,724","233,557",G,"7,801,930",G,
21,Kentucky,7:   100-499,"1,805","5,152","204,792",G,"6,806,201",G,
21,Kentucky,8:   <500,"67,248","73,429","696,652",G,"21,938,863",G,
21,Kentucky,9:   500+,"2,324","17,342","760,138",G,"30,308,000",G,
22,Louisiana,1:   Total,"81,299","103,365","1,599,551",G,"62,265,835",G,
22,Louisiana,2:   0-4,"44,294","44,350","79,395",G,"2,824,365",G,
22,Louisiana,3:   5-9,"14,891","15,041","97,779",G,"2,974,470",G,
22,Louisiana,4:   10-19,"9,708","10,187","129,713",G,"4,104,523",G,
22,Louisiana,5:   <20,"68,893","69,578","306,887",G,"9,903,358",G,
22,Louisiana,6:   20-99,"8,289","10,906","317,154",G,"10,955,914",G,
22,Louisiana,7:   100-499,"1,986","5,423","247,328",G,"9,709,754",G,
22,Louisiana,8:   <500,"79,168","85,907","871,369",G,"30,569,026",G,
22,Louisiana,9:   500+,"2,131","17,458","728,182",G,"31,696,809",G,
23,Maine,1:   Total,"33,773","40,571","480,932",G,"17,278,644",G,
23,Maine,2:   0-4,"21,008","21,039","32,798",G,"1,095,704",G,
23,Maine,3:   5-9,"5,353","5,411","35,233",G,"1,046,920",G,
23,Maine,4:   10-19,"3,311","3,497","43,895",G,"1,283,837",G,
23,Maine,5:   <20,"29,672","29,947","111,926",G,"3,426,461",G,
23,Maine,6:   20-99,"2,447","3,359","88,885",G,"2,899,998",G,
23,Maine,7:   100-499,649,"2,449","81,649",G,"2,850,380",G,
23,Maine,8:   <500,"32,768","35,755","282,460",G,"9,176,839",G,
23,Maine,9:   500+,"1,005","4,816","198,472",G,"8,101,805",G,
24,Maryland,1:   Total,"108,246","134,579","2,075,507",G,"97,807,214",G,
24,Maryland,2:   0-4,"62,757","62,871","105,462",G,"4,356,824",G,
24,Maryland,3:   5-9,"18,092","18,266","118,089",G,"4,406,259",G,
24,Maryland,4:   10-19,"11,856","12,339","157,474",G,"6,081,566",G,
24,Maryland,5:   <20,"92,705","93,476","381,025",G,"14,844,649",G,
24,Maryland,6:   20-99,"10,218","12,573","378,073",G,"16,405,663",G,
24,Maryland,7:   100-499,"2,657","6,411","312,589",G,"14,880,891",G,
24,Maryland,8:   <500,"105,580","112,460","1,071,687",G,"46,131,203",G,
24,Maryland,9:   500+,"2,666","22,119","1,003,820",G,"51,676,011",G,
25,Massachusetts,1:   Total,"137,406","169,790","2,928,545",G,"158,404,256",G,
25,Massachusetts,2:   0-4,"80,749","80,938","136,019",G,"6,347,711",G,
25,Massachusetts,3:   5-9,"23,277","23,567","152,059",G,"6,154,497",G,
25,Massachusetts,4:   10-19,"14,871","15,492","198,182",G,"8,353,810",G,
25,Massachusetts,5:   <20,"118,897","119,997","486,260",G,"20,856,018",G,
25,Massachusetts,6:   20-99,"12,237","15,013","449,872",G,"21,964,050",G,
25,Massachusetts,7:   100-499,"3,298","8,500","421,238",G,"21,973,561",G,
25,Massachusetts,8:   <500,"134,432","143,510","1,357,370",G,"64,793,629",G,
25,Massachusetts,9:   500+,"2,974","26,280","1,571,175",G,"93,610,627",G,
26,Michigan,1:   Total,"174,345","219,119","3,288,456",G,"138,809,653",G,
26,Michigan,2:   0-4,"102,961","103,163","169,882",G,"6,186,312",G,
26,Michigan,3:   5-9,"30,375","30,804","199,646",G,"6,446,942",G,
26,Michigan,4:   10-19,"19,206","20,272","256,983",G,"8,661,808",G,
26,Michigan,5:   <20,"152,542","154,239","626,511",G,"21,295,062",G,
26,Michigan,6:   20-99,"15,217","20,283","570,071",G,"21,654,553",G,
26,Michigan,7:   100-499,"3,601","10,755","503,239",G,"19,900,409",G,
26,Michigan,8:   <500,"171,360","185,277","1,699,821",G,"62,850,024",G,
26,Michigan,9:   500+,"2,985","33,842","1,588,635",G,"75,959,629",G,
27,Minnesota,1:   Total,"117,687","145,464","2,357,971",G,"105,548,294",G,
27,Minnesota,2:   0-4,"70,768","70,906","108,531",G,"4,055,171",G,
27,Minnesota,3:   5-9,"18,013","18,241","118,904",G,"3,797,510",G,
27,Minnesota,4:   10-19,"12,857","13,500","173,088",G,"5,417,966",G,
27,Minnesota,5:   <20,"101,638","102,647","400,523",G,"13,270,647",G,
27,Minnesota,6:   20-99,"10,735","14,184","403,973",G,"14,783,298",G,
27,Minnesota,7:   100-499,"2,786","8,124","376,181",G,"14,638,572",G,
27,Minnesota,8:   <500,"115,159","124,955","1,180,677",G,"42,692,517",G,
27,Minnesota,9:   500+,"2,528","20,509","1,177,294",G,"62,855,777",G,
28,Mississippi,1:   Total,"45,813","59,300","882,181",G,"28,606,573",G,
28,Mississippi,2:   0-4,"25,587","25,619","47,085",G,"1,302,085",G,
28,Mississippi,3:   5-9,"8,337","8,434","54,461",G,"1,429,437",G,
28,Mississippi,4:   10-19,"5,199","5,506","68,897",G,"1,901,847",G,
28,Mississippi,5:   <20,"39,123","39,559","170,443",G,"4,633,369",G,
28,Mississippi,6:   20-99,"3,952","5,314","143,279",G,"4,355,538",G,
28,Mississippi,7:   100-499,"1,119","3,349","123,274",G,"3,945,163",G,
28,Mississippi,8:   <500,"44,194","48,222","436,996",G,"12,934,070",G,
28,Mississippi,9:   500+,"1,619","11,078","445,185",G,"15,672,503",G,
29,Missouri,1:   Total,"117,832","149,903","2,292,551",G,"88,576,663",G,
29,Missouri,2:   0-4,"70,882","70,986","117,460",G,"3,459,620",G,
29,Missouri,3:   5-9,"18,419","18,654","120,245",G,"3,594,020",G,
29,Missouri,4:   10-19,"12,565","13,208","167,392",G,"5,095,852",G,
29,Missouri,5:   <20,"101,866","102,848","405,097",G,"12,149,492",G,
29,Missouri,6:   20-99,"10,468","14,077","388,455",G,"13,222,345",G,
29,Missouri,7:   100-499,"2,704","8,026","316,757",G,"11,577,796",G,
29,Missouri,8:   <500,"115,038","124,951","1,110,309",G,"36,949,633",G,
29,Missouri,9:   500+,"2,794","24,952","1,182,242",G,"51,627,030",G,
30,Montana,1:   Total,"31,358","36,011","338,405",G,"10,716,100",G,
30,Montana,2:   0-4,"19,918","19,936","31,432",G,"938,669",G,
30,Montana,3:   5-9,"5,018","5,062","32,846",G,"845,689",G,
30,Montana,4:   10-19,"3,111","3,286","41,268",G,"1,047,088",G,
30,Montana,5:   <20,"28,047","28,284","105,546",G,"2,831,446",G,
30,Montana,6:   20-99,"2,031","2,774","71,631",G,"2,040,157",G,
30,Montana,7:   100-499,485,"1,441","54,377",G,"1,777,112",G,
30,Montana,8:   <500,"30,563","32,499","231,554",G,"6,648,715",G,
30,Montana,9:   500+,795,"3,512","106,851",G,"4,067,385",G,
31,Nebraska,1:   Total,"41,974","51,886","769,436",G,"28,033,406",G,
31,Nebraska,2:   0-4,"24,531","24,588","41,184",G,"1,230,500",G,
31,Nebraska,3:   5-9,"6,762","6,857","44,119",G,"1,209,891",G,
31,Nebraska,4:   10-19,"4,621","4,867","61,415",G,"1,709,711",G,
31,Nebraska,5:   <20,"35,914","36,312","146,718",G,"4,150,102",G,
31,Nebraska,6:   20-99,"3,658","5,093","134,212",G,"4,434,071",G,
31,Nebraska,7:   100-499,993,"3,019","110,438",G,"3,894,587",G,
31,Nebraska,8:   <500,"40,565","44,424","391,368",G,"12,478,760",G,
31,Nebraska,9:   500+,"1,409","7,462","378,068",G,"15,554,646",G,
32,Nevada,1:   Total,"47,352","59,207","1,002,956",G,"37,909,682",G,
32,Nevada,2:   0-4,"27,757","27,814","42,859",G,"1,982,268",G,
32,Nevada,3:   5-9,"7,199","7,272","47,261",G,"1,597,657",G,
32,Nevada,4:   10-19,"4,779","4,977","62,550",G,"2,083,552",G,
32,Nevada,5:   <20,"39,735","40,063","152,670",G,"5,663,477",G,
32,Nevada,6:   20-99,"4,081","5,055","140,004",G,"5,117,451",G,
32,Nevada,7:   100-499,"1,460","3,100","125,710",G,"4,396,148",G,
32,Nevada,8:   <500,"45,276","48,218","418,384",G,"15,177,076",G,
32,Nevada,9:   500+,"2,076","10,989","584,572",G,"22,732,606",G,
33,New Hampshire,1:   Total,"31,025","37,452","562,505",G,"24,223,645",G,
33,New Hampshire,2:   0-4,"17,524","17,548","30,068",G,"1,225,412",G,
33,New Hampshire,3:   5-9,"5,346","5,406","35,081",G,"1,249,269",G,
33,New Hampshire,4:   10-19,"3,440","3,570","45,627",G,"1,660,277",G,
33,New Hampshire,5:   <20,"26,310","26,524","110,776",G,"4,134,958",G,
33,New Hampshire,6:   20-99,"2,742","3,411","95,742",G,"3,930,503",G,
33,New Hampshire,7:   100-499,766,"1,857","78,420",G,"3,142,242",G,
33,New Hampshire,8:   <500,"29,818","31,792","284,938",G,"11,207,703",G,
33,New Hampshire,9:   500+,"1,207","5,660","277,567",G,"13,015,942",G,
34,New Jersey,1:   Total,"193,722","228,937","3,367,169",G,"178,657,361",G,
34,New Jersey,2:   0-4,"121,756","121,924","204,829",G,"8,331,055",G,
34,New Jersey,3:   5-9,"30,637","30,916","199,958",G,"7,796,979",G,
34,New Jersey,4:   10-19,"18,796","19,451","249,765",G,"10,500,762",G,
34,New Jersey,5:   <20,"171,189","172,291","654,552",G,"26,628,796",G,
34,New Jersey,6:   20-99,"15,619","18,194","575,657",G,"26,459,482",G,
34,New Jersey,7:   100-499,"3,727","8,008","459,107",G,"22,017,579",G,
34,New Jersey,8:   <500,"190,535","198,493","1,689,316",G,"75,105,857",G,
34,New Jersey,9:   500+,"3,187","30,444","1,677,853",G,"103,551,504",G,
35,New Mexico,1:   Total,"35,655","44,221","600,165",G,"21,318,930",G,
35,New Mexico,2:   0-4,"20,192","20,216","34,810",G,"1,095,902",G,
35,New Mexico,3:   5-9,"5,753","5,837","37,663",G,"1,105,424",G,
35,New Mexico,4:   10-19,"4,113","4,279","54,671",G,"1,603,347",G,
35,New Mexico,5:   <20,"30,058","30,332","127,144",G,"3,804,673",G,
35,New Mexico,6:   20-99,"3,166","4,083","112,330",G,"3,627,997",G,
35,New Mexico,7:   100-499,903,"2,327","91,186",G,"3,169,383",G,
35,New Mexico,8:   <500,"34,127","36,742","330,660",G,"10,602,053",G,
35,New Mexico,9:   500+,"1,528","7,479","269,505",G,"10,716,877",G,
36,New York,1:   Total,"444,895","519,504","7,266,189",G,"418,437,922",G,
36,New York,2:   0-4,"294,493","294,873","476,304",G,"20,029,923",G,
36,New York,3:   5-9,"66,569","67,135","433,799",G,"17,166,034",G,
36,New York,4:   10-19,"40,042","41,432","533,547",G,"22,366,086",G,
36,New York,5:   <20,"401,104","403,440","1,443,650",G,"59,562,043",G,
36,New York,6:   20-99,"32,425","38,965","1,214,915",G,"59,820,067",G,
36,New York,7:   100-499,"7,156","18,551","1,079,112",G,"58,258,822",G,
36,New York,8:   <500,"440,685","460,956","3,737,677",G,"177,640,932",G,
36,New York,9:   500+,"4,210","58,548","3,528,512",G,"240,796,990",G,
37,North Carolina,1:   Total,"168,938","218,104","3,234,595",G,"125,174,128",G,
37,North Carolina,2:   0-4,"101,077","101,255","168,452",G,"5,409,926",G,
37,North Carolina,3:   5-9,"28,306","28,687","186,086",G,"5,563,476",G,
37,North Carolina,4:   10-19,"18,027","19,037","239,702",G,"7,209,203",G,
37,North Carolina,5:   <20,"147,410","148,979","594,240",G,"18,182,605",G,
37,North Carolina,6:   20-99,"14,579","19,554","530,282",G,"17,289,062",G,
37,North Carolina,7:   100-499,"3,548","10,434","420,868",G,"15,329,063",G,
37,North Carolina,8:   <500,"165,537","178,967","1,545,390",G,"50,800,730",G,
37,North Carolina,9:   500+,"3,401","39,137","1,689,205",G,"74,373,398",G,
38,North Dakota,1:   Total,"18,169","21,832","294,907",G,"10,543,129",G,
38,North Dakota,2:   0-4,"10,163","10,179","16,694",G,"532,484",G,
38,North Dakota,3:   5-9,"2,916","2,949","19,184",G,"549,626",G,
38,North Dakota,4:   10-19,"2,162","2,299","28,901",G,"855,760",G,
38,North Dakota,5:   <20,"15,241","15,427","64,779",G,"1,937,870",G,
38,North Dakota,6:   20-99,"1,735","2,432","63,048",G,"2,062,367",G,
38,North Dakota,7:   100-499,472,"1,377","54,626",G,"1,757,779",G,
38,North Dakota,8:   <500,"17,448","19,236","182,453",G,"5,758,016",G,
38,North Dakota,9:   500+,721,"2,596","112,454",G,"4,785,113",G,
39,Ohio,1:   Total,"190,184","253,491","4,352,481",G,"174,515,811",G,
39,Ohio,2:   0-4,"104,791","105,025","182,546",G,"6,037,354",G,
39,Ohio,3:   5-9,"34,681","35,174","228,383",G,"6,983,836",G,
39,Ohio,4:   10-19,"23,033","24,447","308,697",G,"9,854,154",G,
39,Ohio,5:   <20,"162,505","164,646","719,626",G,"22,875,344",G,
39,Ohio,6:   20-99,"19,292","25,730","725,065",G,"25,736,248",G,
39,Ohio,7:   100-499,"4,689","14,127","630,097",G,"23,392,176",G,
39,Ohio,8:   <500,"186,486","204,503","2,074,788",G,"72,003,768",G,
39,Ohio,9:   500+,"3,698","48,988","2,277,693",G,"102,512,043",G,
40,Oklahoma,1:   Total,"71,972","90,050","1,241,168",G,"46,094,301",G,
40,Oklahoma,2:   0-4,"42,203","42,285","72,950",G,"2,377,908",G,
40,Oklahoma,3:   5-9,"12,257","12,395","80,193",G,"2,363,810",G,
40,Oklahoma,4:   10-19,"7,745","8,159","102,997",G,"3,068,283",G,
40,Oklahoma,5:   <20,"62,205","62,839","256,140",G,"7,810,001",G,
40,Oklahoma,6:   20-99,"6,175","8,175","231,185",G,"7,630,173",G,
40,Oklahoma,7:   100-499,"1,575","4,611","186,048",G,"6,699,590",G,
