Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2010",,,,,,,, release date:10/2012,
,,,,,,,,,
"SOURCE: 2010 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
,,,,,,,,,
,,,,,,,,,
99,United States,1:   Total,"5,734,538","7,396,628","111,970,095",G,"4,940,983,369",G,
99,United States,2:   0-4,"3,575,240","3,582,826","5,926,452",G,"226,541,056",G,
99,United States,3:   5-9,"968,075","982,019","6,358,931",G,"212,039,611",G,
99,United States,4:   10-19,"617,089","652,662","8,288,385",G,"283,246,473",G,
99,United States,5:   <20,"5,160,404","5,217,507","20,573,768",G,"721,827,140",G,
99,United States,6:   20-99,"475,125","648,386","18,554,372",G,"719,061,251",G,
99,United States,7:   100-499,"81,773","354,313","15,868,540",G,"665,644,629",G,
99,United States,8:   <500,"5,717,302","6,220,206","54,996,680",G,"2,106,533,020",G,
99,United States,9:   500+,"17,236","1,176,422","56,973,415",G,"2,834,450,349",G,
01,Alabama,1:   Total,"75,518","99,251","1,568,111",G,"57,448,016",G,
01,Alabama,2:   0-4,"41,651","41,744","77,287",G,"2,376,758",G,
01,Alabama,3:   5-9,"13,720","13,893","90,189",G,"2,623,846",G,
01,Alabama,4:   10-19,"8,790","9,305","116,954",G,"3,577,009",G,
01,Alabama,5:   <20,"64,161","64,942","284,430",G,"8,577,613",G,
01,Alabama,6:   20-99,"7,081","9,668","260,709",G,"8,989,585",G,
01,Alabama,7:   100-499,"1,921","5,362","223,163",G,"8,063,381",G,
01,Alabama,8:   <500,"73,163","79,972","768,302",G,"25,630,579",G,
01,Alabama,9:   500+,"2,355","19,279","799,809",G,"31,817,437",G,
02,Alaska,1:   Total,"16,462","19,985","254,734",G,"12,821,494",G,
02,Alaska,2:   0-4,"9,920","9,949","15,123",G,"743,636",G,
02,Alaska,3:   5-9,"2,776","2,821","18,265",G,"735,069",G,
02,Alaska,4:   10-19,"1,744","1,904","23,324",G,"1,018,588",G,
02,Alaska,5:   <20,"14,440","14,674","56,712",G,"2,497,293",G,
02,Alaska,6:   20-99,"1,142","1,624","40,422",G,"1,806,390",G,
02,Alaska,7:   100-499,311,"1,054","38,240",G,"1,636,105",G,
02,Alaska,8:   <500,"15,893","17,352","135,374",G,"5,939,788",G,
02,Alaska,9:   500+,569,"2,633","119,360",G,"6,881,706",G,
04,Arizona,1:   Total,"102,175","131,849","2,065,224",G,"84,030,312",G,
04,Arizona,2:   0-4,"61,994","62,101","97,639",G,"3,757,658",G,
04,Arizona,3:   5-9,"16,049","16,281","105,358",G,"3,338,483",G,
04,Arizona,4:   10-19,"10,185","10,633","135,068",G,"4,242,532",G,
04,Arizona,5:   <20,"88,228","89,015","338,065",G,"11,338,673",G,
