"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
,9:   500+,"1,386","7,119","396,432",G,"15,422,330",G,"119,392,787",G,,
Nevada,1:   Total,"51,342","62,839","1,195,806",G,"44,422,686",G,"220,467,770",G,,
,2:   0-4,"29,200","29,252","43,967",G,"2,133,087",G,"11,572,206",G,,
,3:   5-9,"8,012","8,084","52,681",G,"1,802,095",G,"8,273,493",G,,
,4:   10-19,"5,334","5,578","70,924",G,"2,411,126",G,"10,984,847",G,,
,5:   <20,"42,546","42,914","167,572",G,"6,346,308",G,"30,830,546",G,,
,6:   20-99,"4,918","5,843","175,040",G,"6,311,401",G,"26,490,377",G,,
,7:   100-499,"1,738","3,329","169,626",G,"6,185,172",G,"30,842,029",G,,
,8:   <500,"49,202","52,086","512,238",G,"18,842,881",G,"88,162,952",G,,
,9:   500+,"2,140","10,753","683,568",G,"25,579,805",G,"132,304,818",G,,
New Hampshire,1:   Total,"33,001","39,453","573,209",G,"22,791,071",G,"113,217,996",G,,
,2:   0-4,"18,555","18,577","31,539",G,"1,276,370",G,"7,167,640",G,,
,3:   5-9,"5,900","5,942","38,700",G,"1,356,078",G,"6,000,904",G,,
,4:   10-19,"3,500","3,669","46,693",G,"1,681,422",G,"6,851,958",G,,
,5:   <20,"27,955","28,188","116,932",G,"4,313,870",G,"20,020,502",G,,
,6:   20-99,"3,125","3,842","109,604",G,"4,276,145",G,"19,335,920",G,,
,7:   100-499,785,"1,903","83,244",G,"3,263,402",G,"15,096,623",G,,
,8:   <500,"31,865","33,933","309,780",G,"11,853,417",G,"54,453,045",G,,
,9:   500+,"1,136","5,520","263,429",G,"10,937,654",G,"58,764,951",G,,
New Jersey,1:   Total,"208,002","243,350","3,661,679",G,"184,164,748",G,"1,090,858,952",G,,
,2:   0-4,"128,741","128,850","218,308",G,"8,928,342",G,"56,518,227",G,,
,3:   5-9,"34,476","34,743","225,397",G,"8,441,139",G,"46,616,919",G,,
,4:   10-19,"20,321","20,984","270,291",G,"11,194,947",G,"53,717,410",G,,
,5:   <20,"183,538","184,577","713,996",G,"28,564,428",G,"156,852,556",G,,
,6:   20-99,"17,222","20,104","637,974",G,"28,461,176",G,"143,792,291",G,,
,7:   100-499,"4,020","7,999","506,947",G,"23,189,147",G,"116,224,794",G,,
,8:   <500,"204,780","212,680","1,858,917",G,"80,214,751",G,"416,869,641",G,,
,9:   500+,"3,222","30,670","1,802,762",G,"103,949,997",G,"673,989,311",G,,
New Mexico,1:   Total,"38,291","46,869","642,183",G,"21,889,467",G,"128,444,766",G,,
,2:   0-4,"21,424","21,436","35,877",G,"1,123,819",G,"6,136,527",G,,
,3:   5-9,"6,645","6,722","43,838",G,"1,197,217",G,"5,606,367",G,,
,4:   10-19,"4,232","4,408","55,999",G,"1,591,142",G,"7,237,931",G,,
,5:   <20,"32,301","32,566","135,714",G,"3,912,178",G,"18,980,825",G,,
,6:   20-99,"3,607","4,634","128,364",G,"3,816,527",G,"18,508,478",G,,
,7:   100-499,903,"2,310","92,303",G,"3,061,633",G,"14,415,661",G,,
,8:   <500,"36,811","39,510","356,381",G,"10,790,338",G,"51,904,964",G,,
,9:   500+,"1,480","7,359","285,802",G,"11,099,129",G,"76,539,802",G,,
New York,1:   Total,"446,021","519,489","7,529,882",G,"429,074,494",G,"2,223,750,754",G,,
,2:   0-4,"289,959","290,188","473,742",G,"19,950,530",G,"127,099,279",G,,
,3:   5-9,"69,657","70,228","455,052",G,"17,822,759",G,"94,480,283",G,,
,4:   10-19,"40,561","42,013","539,997",G,"22,789,096",G,"113,329,199",G,,
,5:   <20,"400,177","402,429","1,468,791",G,"60,562,385",G,"334,908,761",G,,
,6:   20-99,"34,046","41,150","1,274,760",G,"59,999,483",G,"291,903,986",G,,
,7:   100-499,"7,509","19,083","1,134,756",G,"58,582,676",G,"283,089,534",G,,
,8:   <500,"441,732","462,662","3,878,307",G,"179,144,544",G,"909,902,281",G,,
,9:   500+,"4,289","56,827","3,651,575",G,"249,929,950",G,"1,313,848,473",G,,
North Carolina,1:   Total,"179,773","227,906","3,586,552",G,"131,960,671",G,"822,566,115",G,,
,2:   0-4,"104,738","104,856","175,521",G,"5,811,611",G,"38,123,994",G,,
,3:   5-9,"31,677","32,033","207,966",G,"6,023,344",G,"30,700,463",G,,
,4:   10-19,"19,369","20,380","256,723",G,"7,748,343",G,"37,005,361",G,,
,5:   <20,"155,784","157,269","640,210",G,"19,583,298",G,"105,829,818",G,,
,6:   20-99,"16,750","22,105","613,816",G,"19,398,648",G,"98,836,650",G,,
,7:   100-499,"3,782","10,780","464,294",G,"16,266,952",G,"86,124,154",G,,
,8:   <500,"176,316","190,154","1,718,320",G,"55,248,898",G,"290,790,622",G,,
,9:   500+,"3,457","37,752","1,868,232",G,"76,711,773",G,"531,775,493",G,,
North Dakota,1:   Total,"17,881","21,518","292,879",G,"9,111,928",G,"65,208,279",G,,
,2:   0-4,"10,091","10,100","16,606",G,"472,382",G,"3,336,492",G,,
,3:   5-9,"3,049","3,094","20,102",G,"505,636",G,"3,365,026",G,,
,4:   10-19,"1,964","2,109","26,212",G,"712,994",G,"4,654,942",G,,
,5:   <20,"15,104","15,303","62,920",G,"1,691,012",G,"11,356,460",G,,
,6:   20-99,"1,665","2,426","60,026",G,"1,730,343",G,"12,097,121",G,,
,7:   100-499,437,"1,254","51,378",G,"1,485,143",G,"9,026,798",G,,
,8:   <500,"17,206","18,983","174,324",G,"4,906,498",G,"32,480,379",G,,
,9:   500+,675,"2,535","118,555",G,"4,205,430",G,"32,727,900",G,,
Ohio,1:   Total,"205,494","270,299","4,782,141",G,"180,992,383",G,"1,110,985,795",G,,
,2:   0-4,"111,691","111,842","194,908",G,"6,369,259",G,"38,895,422",G,,
,3:   5-9,"38,707","39,165","255,940",G,"7,373,945",G,"36,114,125",G,,
,4:   10-19,"24,501","25,926","327,500",G,"10,139,214",G,"46,226,677",G,,
,5:   <20,"174,899","176,933","778,348",G,"23,882,418",G,"121,236,224",G,,
,6:   20-99,"21,803","28,860","828,408",G,"27,857,652",G,"135,890,566",G,,
,7:   100-499,"5,002","14,821","695,630",G,"24,735,414",G,"133,501,780",G,,
,8:   <500,"201,704","220,614","2,302,386",G,"76,475,484",G,"390,628,570",G,,
,9:   500+,"3,790","49,685","2,479,755",G,"104,516,899",G,"720,357,225",G,,
Oklahoma,1:   Total,"73,564","91,235","1,307,858",G,"44,607,658",G,"312,065,477",G,,
,2:   0-4,"42,910","42,978","73,102",G,"2,262,547",G,"14,514,684",G,,
,3:   5-9,"13,020","13,171","85,612",G,"2,329,359",G,"12,537,674",G,,
,4:   10-19,"7,525","7,900","100,335",G,"2,819,393",G,"15,930,031",G,,
,5:   <20,"63,455","64,049","259,049",G,"7,411,299",G,"42,982,389",G,,
,6:   20-99,"6,585","8,808","245,614",G,"7,378,136",G,"52,849,183",G,,
,7:   100-499,"1,583","4,486","193,625",G,"6,395,075",G,"40,886,702",G,,
,8:   <500,"71,623","77,343","698,288",G,"21,184,510",G,"136,718,274",G,,
,9:   500+,"1,941","13,892","609,570",G,"23,423,148",G,"175,347,203",G,,
Oregon,1:   Total,"94,264","113,389","1,477,553",G,"56,033,374",G,"324,016,551",G,,
,2:   0-4,"55,820","55,867","91,378",G,"2,960,986",G,"18,690,532",G,,
,3:   5-9,"16,503","16,646","108,185",G,"3,014,390",G,"14,713,976",G,,
,4:   10-19,"10,067","10,580","134,152",G,"3,956,431",G,"18,551,124",G,,
,5:   <20,"82,390","83,093","333,715",G,"9,931,807",G,"51,955,632",G,,
,6:   20-99,"7,945","10,671","289,221",G,"9,930,871",G,"49,552,952",G,,
,7:   100-499,"1,867","5,762","217,212",G,"8,031,006",G,"47,758,687",G,,
,8:   <500,"92,202","99,526","840,148",G,"27,893,684",G,"149,267,271",G,,
,9:   500+,"2,062","13,863","637,405",G,"28,139,690",G,"174,749,280",G,,
Pennsylvania,1:   Total,"240,573","305,345","5,195,818",G,"208,045,992",G,"1,171,647,871",G,,
,2:   0-4,"135,605","135,760","238,539",G,"8,010,452",G,"47,578,894",G,,
,3:   5-9,"44,371","44,865","291,720",G,"8,813,546",G,"44,262,632",G,,
,4:   10-19,"27,112","28,509","361,852",G,"11,965,523",G,"53,448,347",G,,
,5:   <20,"207,088","209,134","892,111",G,"28,789,521",G,"145,289,873",G,,
,6:   20-99,"24,080","31,070","907,388",G,"32,999,187",G,"158,041,239",G,,
,7:   100-499,"5,462","15,514","760,768",G,"28,705,795",G,"146,981,024",G,,
,8:   <500,"236,630","255,718","2,560,267",G,"90,494,503",G,"450,312,136",G,,
,9:   500+,"3,943","49,627","2,635,551",G,"117,551,489",G,"721,335,735",G,,
Rhode Island,1:   Total,"26,417","30,359","441,353",G,"16,976,081",G,"83,105,152",G,,
,2:   0-4,"15,354","15,362","25,638",G,"945,376",G,"5,483,837",G,,
,3:   5-9,"4,442","4,486","29,056",G,"936,622",G,"4,517,441",G,,
,4:   10-19,"2,686","2,766","35,878",G,"1,187,748",G,"5,126,622",G,,
,5:   <20,"22,482","22,614","90,572",G,"3,069,746",G,"15,127,900",G,,
,6:   20-99,"2,353","2,732","85,742",G,"3,080,189",G,"13,955,785",G,,
,7:   100-499,623,"1,456","70,602",G,"2,588,265",G,"10,422,077",G,,
,8:   <500,"25,458","26,802","246,916",G,"8,738,200",G,"39,505,762",G,,
,9:   500+,959,"3,557","194,437",G,"8,237,881",H,"43,599,390",G,,
South Carolina,1:   Total,"85,056","107,893","1,648,146",G,"53,866,256",G,"332,046,117",G,,
,2:   0-4,"47,956","48,006","83,242",G,"2,549,548",G,"16,513,209",G,,
,3:   5-9,"15,507","15,707","101,999",G,"2,731,914",G,"13,886,727",G,,
,4:   10-19,"9,468","9,992","125,725",G,"3,529,795",G,"16,692,285",G,,
,5:   <20,"72,931","73,705","310,966",G,"8,811,257",G,"47,092,221",G,,
,6:   20-99,"7,897","10,381","287,024",G,"8,564,257",G,"42,956,805",G,,
,7:   100-499,"1,916","4,952","216,908",G,"6,965,178",G,"36,243,724",G,,
,8:   <500,"82,744","89,038","814,898",G,"24,340,692",G,"126,292,750",G,,
,9:   500+,"2,312","18,855","833,248",G,"29,525,564",G,"205,753,367",G,,
South Dakota,1:   Total,"22,043","25,869","330,169",G,"10,144,637",G,"83,127,202",G,,
,2:   0-4,"12,735","12,748","21,006",G,"576,848",G,"4,162,335",G,,
,3:   5-9,"3,812","3,849","25,054",G,"594,037",G,"3,663,519",G,,
,4:   10-19,"2,397","2,540","31,460",G,"792,131",G,"4,884,346",G,,
,5:   <20,"18,944","19,137","77,520",G,"1,963,016",G,"12,710,200",G,,
,6:   20-99,"1,857","2,597","67,180",G,"1,899,336",G,"12,847,092",G,,
,7:   100-499,527,"1,611","59,585",G,"1,784,854",G,"12,223,418",G,,
,8:   <500,"21,328","23,345","204,285",G,"5,647,206",G,"37,780,710",G,,
,9:   500+,715,"2,524","125,884",H,"4,497,431",H,"45,346,492",H,,
Tennessee,1:   Total,"104,746","137,855","2,475,512",G,"90,085,455",G,"546,283,425",G,,
,2:   0-4,"56,746","56,827","101,134",G,"3,404,598",G,"21,856,512",G,,
,3:   5-9,"19,370","19,612","127,556",G,"3,730,827",G,"19,887,031",G,,
,4:   10-19,"12,052","12,718","160,538",G,"5,041,642",G,"25,101,156",G,,
,5:   <20,"88,168","89,157","389,228",G,"12,177,067",G,"66,844,699",G,,
,6:   20-99,"10,802","14,161","398,547",G,"14,001,341",G,"68,676,857",G,,
,7:   100-499,"2,739","7,402","325,577",G,"11,673,088",G,"61,376,813",G,,
,8:   <500,"101,709","110,720","1,113,352",G,"37,851,496",G,"196,898,369",G,,
,9:   500+,"3,037","27,135","1,362,160",G,"52,233,959",G,"349,385,056",G,,
Texas,1:   Total,"397,684","521,408","9,041,030",G,"373,037,029",G,"2,586,201,192",G,,
,2:   0-4,"229,814","230,224","391,980",G,"16,557,616",G,"105,823,627",G,,
,3:   5-9,"70,929","71,871","465,043",G,"15,028,864",G,"84,870,448",G,,
,4:   10-19,"43,941","46,472","587,326",G,"19,771,491",G,"102,186,374",G,,
,5:   <20,"344,684","348,567","1,444,349",G,"51,357,971",G,"292,880,449",G,,
,6:   20-99,"38,792","51,039","1,474,118",G,"51,832,546",G,"275,407,139",G,,
,7:   100-499,"8,869","25,036","1,230,452",G,"48,828,299",G,"305,767,604",G,,
,8:   <500,"392,345","424,642","4,148,919",G,"152,018,816",G,"874,055,192",G,,
,9:   500+,"5,339","96,766","4,892,111",G,"221,018,213",G,"1,712,146,000",G,,
Utah,1:   Total,"60,989","71,880","1,102,821",G,"38,730,072",G,"229,772,813",G,,
,2:   0-4,"36,873","36,892","54,077",H,"1,996,757",G,"11,937,326",G,,
,3:   5-9,"9,525","9,590","62,745",G,"1,728,446",G,"9,343,953",G,,
,4:   10-19,"6,212","6,462","82,443",G,"2,341,576",G,"12,183,799",G,,
,5:   <20,"52,610","52,944","199,265",G,"6,066,779",G,"33,465,078",G,,
,6:   20-99,"5,288","6,687","196,427",G,"6,334,317",G,"30,736,357",G,,
,7:   100-499,"1,268","2,932","143,919",G,"5,300,428",G,"27,683,571",G,,
,8:   <500,"59,166","62,563","539,611",G,"17,701,524",G,"91,885,006",G,,
,9:   500+,"1,823","9,317","563,210",G,"21,028,548",G,"137,887,807",G,,
Vermont,1:   Total,"19,503","22,341","268,086",G,"8,821,572",G,"45,549,949",G,,
,2:   0-4,"11,570","11,575","19,502",G,"651,947",G,"3,488,345",G,,
,3:   5-9,"3,340","3,371","21,837",G,"620,981",G,"2,758,857",G,,
,4:   10-19,"2,014","2,104","26,499",G,"774,347",G,"3,749,306",G,,
,5:   <20,"16,924","17,050","67,838",G,"2,047,275",G,"9,996,508",G,,
,6:   20-99,"1,566","2,092","54,572",G,"1,784,965",G,"8,440,819",G,,
,7:   100-499,365,"1,134","42,269",G,"1,471,256",G,"7,365,957",G,,
,8:   <500,"18,855","20,276","164,679",G,"5,303,496",G,"25,803,284",G,,
,9:   500+,648,"2,065","103,407",G,"3,518,076",G,"19,746,665",G,,
Virginia,1:   Total,"157,501","200,503","3,196,914",G,"136,311,818",G,"740,180,426",G,,
,2:   0-4,"91,681","91,773","155,066",G,"5,787,940",G,"30,825,458",G,,
,3:   5-9,"27,433","27,667","180,503",G,"5,827,037",G,"24,793,471",G,,
,4:   10-19,"16,983","17,800","225,592",G,"7,857,544",G,"31,620,995",G,,
,5:   <20,"136,097","137,240","561,161",G,"19,472,521",G,"87,239,924",G,,
,6:   20-99,"14,489","18,559","530,506",G,"20,435,790",G,"84,391,174",G,,
,7:   100-499,"3,654","9,727","452,834",G,"19,670,060",G,"86,493,978",G,,
,8:   <500,"154,240","165,526","1,544,501",G,"59,578,371",G,"258,125,076",G,,
,9:   500+,"3,261","34,977","1,652,413",G,"76,733,447",G,"482,055,350",G,,
Washington,1:   Total,"153,567","184,542","2,501,684",G,"112,307,548",G,"616,830,198",G,,
,2:   0-4,"92,805","92,981","149,672",G,"5,416,609",G,"32,000,069",G,,
,3:   5-9,"26,216","26,446","172,252",G,"5,429,946",G,"28,482,129",G,,
,4:   10-19,"15,968","16,801","211,611",G,"7,094,775",G,"31,776,353",G,,
,5:   <20,"134,989","136,228","533,535",G,"17,941,330",G,"92,258,551",G,,
,6:   20-99,"12,783","16,672","465,683",G,"17,766,709",G,"86,321,297",G,,
,7:   100-499,"3,058","8,247","366,158",G,"15,752,162",G,"80,143,746",G,,
,8:   <500,"150,830","161,147","1,365,376",G,"51,460,201",G,"258,723,594",G,,
,9:   500+,"2,737","23,395","1,136,308",G,"60,847,347",G,"358,106,604",G,,
West Virginia,1:   Total,"31,923","40,492","581,023",G,"18,058,858",G,"114,644,029",G,,
,2:   0-4,"17,280","17,295","31,771",G,"773,283",G,"4,783,475",G,,
,3:   5-9,"6,245","6,311","40,819",G,"917,119",G,"4,547,325",G,,
,4:   10-19,"3,604","3,809","47,646",G,"1,232,798",G,"5,876,473",G,,
,5:   <20,"27,129","27,415","120,236",G,"2,923,200",G,"15,207,273",G,,
,6:   20-99,"2,887","4,102","105,577",G,"2,969,541",G,"15,915,941",G,,
,7:   100-499,753,"2,138","82,032",G,"2,452,215",G,"14,597,215",G,,
,8:   <500,"30,769","33,655","307,845",G,"8,344,956",G,"45,720,429",G,,
,9:   500+,"1,154","6,837","273,178",G,"9,713,902",G,"68,923,600",G,,
Wisconsin,1:   Total,"117,426","146,286","2,484,051",G,"92,637,609",G,"560,985,540",G,,
,2:   0-4,"64,790","64,891","108,793",G,"3,619,881",G,"20,959,731",G,,
,3:   5-9,"21,037","21,272","138,740",G,"3,927,840",G,"19,017,293",G,,
,4:   10-19,"14,024","14,764","187,862",G,"5,409,604",G,"25,381,424",G,,
,5:   <20,"99,851","100,927","435,395",G,"12,957,325",G,"65,358,448",G,,
,6:   20-99,"12,425","16,688","469,803",G,"15,207,870",G,"75,559,772",G,,
,7:   100-499,"2,742","8,033","392,796",G,"14,212,417",G,"76,337,684",G,,
,8:   <500,"115,018","125,648","1,297,994",G,"42,377,612",G,"217,255,904",G,,
,9:   500+,"2,408","20,638","1,186,057",G,"50,259,997",G,"343,729,636",G,,
Wyoming,1:   Total,"18,114","20,765","215,615",G,"8,162,130",G,"66,009,186",G,,
,2:   0-4,"10,704","10,710","17,777",G,"608,267",G,"3,292,511",G,,
,3:   5-9,"3,138","3,161","20,393",G,"583,948",G,"3,089,737",G,,
,4:   10-19,"1,855","1,966","24,487",G,"742,658",G,"3,496,098",G,,
,5:   <20,"15,697","15,837","62,657",G,"1,934,873",G,"9,878,346",G,,
,6:   20-99,"1,436","1,939","47,871",G,"1,642,688",G,"8,864,112",G,,
,7:   100-499,356,787,"31,005",G,"1,160,847",G,"5,862,416",G,,
,8:   <500,"17,489","18,563","141,533",G,"4,738,408",G,"24,604,874",G,,
,9:   500+,625,"2,202","74,082",G,"3,423,722",G,"41,404,312",G,,
