"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
,9:   500+,"3,012","22,281","1,034,727",G,"48,607,490",G,"299,806,031",G,,
Connecticut,1:   Total,"77,128","93,615","1,539,268",G,"81,460,457",G,"524,283,641",G,,
,2:   0-4,"43,546","43,605","75,270",G,"3,399,841",G,"27,133,921",G,,
,3:   5-9,"13,782","13,928","90,634",G,"3,604,826",G,"17,541,706",G,,
,4:   10-19,"8,503","8,847","112,987",G,"4,902,147",G,"21,423,470",G,,
,5:   <20,"65,831","66,380","278,891",G,"11,906,814",G,"66,099,097",G,,
,6:   20-99,"7,295","8,929","266,400",G,"12,802,267",G,"71,165,671",G,,
,7:   100-499,"1,961","4,588","236,433",G,"12,732,409",G,"73,792,458",G,,
,8:   <500,"75,087","79,897","781,724",G,"37,441,490",G,"211,057,226",G,,
,9:   500+,"2,041","13,718","757,544",G,"44,018,967",G,"313,226,415",G,,
Delaware,1:   Total,"20,743","25,521","396,317",G,"18,607,545",G,"166,867,322",G,,
,2:   0-4,"11,353","11,374","18,003",G,"680,885",G,"5,369,590",G,,
,3:   5-9,"3,222","3,260","21,061",G,"686,125",G,"3,279,544",G,,
,4:   10-19,"2,055","2,150","27,197",G,"927,453",G,"4,682,484",G,,
,5:   <20,"16,630","16,784","66,261",G,"2,294,463",G,"13,331,618",G,,
,6:   20-99,"1,924","2,437","65,718",G,"2,548,573",G,"11,772,734",G,,
,7:   100-499,728,"1,326","49,652",G,"2,013,326",G,"10,067,715",G,,
,8:   <500,"19,282","20,547","181,631",G,"6,856,362",G,"35,172,067",G,,
