Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2014",,,,,,,,,,,,, release date: 9/29/2016
,,,,,,,,,,,,,
"SOURCE: 2014 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
02,Alaska,09:  500+,617,"3,015","124,125",G,"8,123,058",G,,,,,
04,Arizona,01:  Total,"103,312","134,434","2,241,077",G,"96,796,238",G,,,,,
04,Arizona,02:  0-4,"61,739","61,828","97,007",H,"4,250,601",G,,,,,
04,Arizona,03:  5-9,"16,301","16,454","107,650",G,"3,671,269",G,,,,,
04,Arizona,04:  10-19,"10,125","10,551","134,408",G,"4,669,909",G,,,,,
04,Arizona,05:  <20,"88,165","88,833","339,065",G,"12,591,779",G,,,,,
04,Arizona,06:  20-99,"9,363","11,658","344,887",G,"12,395,797",G,,,,,
04,Arizona,07:  100-499,"2,671","6,785","311,719",G,"13,034,351",G,,,,,
04,Arizona,08:  <500,"100,199","107,276","995,671",G,"38,021,927",G,,,,,
04,Arizona,09:  500+,"3,113","27,158","1,245,406",G,"58,774,311",G,,,,,
05,Arkansas,01:  Total,"50,151","64,670","992,201",G,"38,335,116",G,,,,,
05,Arkansas,02:  0-4,"28,359","28,383","48,859",G,"1,663,357",G,,,,,
05,Arkansas,03:  5-9,"9,045","9,106","59,228",G,"1,732,282",G,,,,,
05,Arkansas,04:  10-19,"5,174","5,457","68,880",G,"2,134,690",G,,,,,
05,Arkansas,05:  <20,"42,578","42,946","176,967",G,"5,530,329",G,,,,,
05,Arkansas,06:  20-99,"4,618","6,437","169,204",G,"5,453,465",G,,,,,
05,Arkansas,07:  100-499,"1,188","3,646","134,999",G,"4,705,239",G,,,,,
05,Arkansas,08:  <500,"48,384","53,029","481,170",G,"15,689,033",G,,,,,
05,Arkansas,09:  500+,"1,767","11,641","511,031",G,"22,646,083",G,,,,,
06,California,01:  Total,"724,483","889,646","13,838,702",G,"797,045,734",G,,,,,
06,California,02:  0-4,"448,179","448,817","725,788",G,"39,057,230",G,,,,,
06,California,03:  5-9,"121,713","122,884","799,010",G,"31,160,402",G,,,,,
06,California,04:  10-19,"73,249","76,656","977,060",G,"39,832,848",G,,,,,
06,California,05:  <20,"643,141","648,357","2,501,858",G,"110,050,480",G,,,,,
06,California,06:  20-99,"62,657","79,109","2,386,654",G,"108,267,133",G,,,,,
06,California,07:  100-499,"12,760","37,068","1,918,082",G,"103,423,948",G,,,,,
06,California,08:  <500,"718,558","764,534","6,806,594",G,"321,741,561",G,,,,,
06,California,09:  500+,"5,925","125,112","7,032,108",G,"475,304,173",G,,,,,
08,Colorado,01:  Total,"130,693","158,064","2,181,455",G,"112,194,052",G,,,,,
08,Colorado,02:  0-4,"83,722","83,788","125,500",H,"5,648,759",G,,,,,
08,Colorado,03:  5-9,"18,967","19,116","124,677",G,"4,685,459",G,,,,,
08,Colorado,04:  10-19,"11,944","12,359","159,062",G,"6,120,028",G,,,,,
08,Colorado,05:  <20,"114,633","115,263","409,239",G,"16,454,246",G,,,,,
08,Colorado,06:  20-99,"10,154","12,523","365,910",G,"15,182,756",G,,,,,
08,Colorado,07:  100-499,"2,694","6,225","284,047",G,"14,307,210",G,,,,,
08,Colorado,08:  <500,"127,481","134,011","1,059,196",G,"45,944,212",G,,,,,
08,Colorado,09:  500+,"3,212","24,053","1,122,259",G,"66,249,840",G,,,,,
09,Connecticut,01:  Total,"71,560","88,555","1,485,426",G,"87,866,508",G,,,,,
09,Connecticut,02:  0-4,"40,199","40,251","69,709",G,"3,318,760",G,,,,,
09,Connecticut,03:  5-9,"12,625","12,740","82,918",G,"3,554,049",G,,,,,
09,Connecticut,04:  10-19,"7,748","8,066","102,891",G,"4,771,433",G,,,,,
09,Connecticut,05:  <20,"60,572","61,057","255,518",G,"11,644,242",G,,,,,
09,Connecticut,06:  20-99,"6,981","8,384","252,932",G,"13,045,044",G,,,,,
09,Connecticut,07:  100-499,"1,833","4,574","224,300",G,"11,964,554",G,,,,,
09,Connecticut,08:  <500,"69,386","74,015","732,750",G,"36,653,840",G,,,,,
09,Connecticut,09:  500+,"2,174","14,540","752,676",G,"51,212,668",G,,,,,
10,Delaware,01:  Total,"19,582","24,312","391,636",G,"20,918,838",G,,,,,
10,Delaware,02:  0-4,"10,778","10,813","17,516",H,"823,644",G,,,,,
10,Delaware,03:  5-9,"2,926","2,971","19,322",G,"734,593",G,,,,,
10,Delaware,04:  10-19,"2,000","2,083","26,608",G,"1,071,264",G,,,,,
10,Delaware,05:  <20,"15,704","15,867","63,446",G,"2,629,501",G,,,,,
10,Delaware,06:  20-99,"1,890","2,287","64,173",G,"2,727,562",G,,,,,
10,Delaware,07:  100-499,634,"1,210","49,218",G,"2,441,900",G,,,,,
10,Delaware,08:  <500,"18,228","19,364","176,837",G,"7,798,963",G,,,,,
10,Delaware,09:  500+,"1,354","4,948","214,799",G,"13,119,875",G,,,,,
11,District of Columbia,01:  Total,"17,468","22,210","495,453",G,"36,953,396",G,,,,,
11,District of Columbia,02:  0-4,"8,099","8,111","14,091",G,"1,106,489",G,,,,,
11,District of Columbia,03:  5-9,"2,680","2,692","17,639",G,"1,095,896",G,,,,,
11,District of Columbia,04:  10-19,"1,901","1,971","24,513",G,"1,652,932",G,,,,,
11,District of Columbia,05:  <20,"12,680","12,774","56,243",G,"3,855,317",G,,,,,
11,District of Columbia,06:  20-99,"2,412","2,625","84,091",G,"5,368,827",G,,,,,
11,District of Columbia,07:  100-499,"1,041","1,553","100,107",G,"6,734,876",G,,,,,
11,District of Columbia,08:  <500,"16,133","16,952","240,441",G,"15,959,020",G,,,,,
11,District of Columbia,09:  500+,"1,335","5,258","255,012",G,"20,994,376",G,,,,,
12,Florida,01:  Total,"424,551","519,875","7,441,584",G,"312,959,623",G,,,,,
12,Florida,02:  0-4,"290,520","290,793","450,324",H,"17,661,580",G,,,,,
12,Florida,03:  5-9,"60,777","61,274","396,730",G,"13,920,961",G,,,,,
12,Florida,04:  10-19,"34,512","35,806","458,759",G,"16,511,634",G,,,,,
12,Florida,05:  <20,"385,809","387,873","1,305,813",G,"48,094,175",G,,,,,
12,Florida,06:  20-99,"27,776","34,605","1,037,266",G,"39,097,439",G,,,,,
12,Florida,07:  100-499,"6,389","16,769","839,483",G,"35,553,671",G,,,,,
12,Florida,08:  <500,"419,974","439,247","3,182,562",G,"122,745,285",G,,,,,
12,Florida,09:  500+,"4,577","80,628","4,259,022",G,"190,214,338",G,,,,,
13,Georgia,01:  Total,"171,601","220,605","3,551,163",G,"163,852,238",G,,,,,
13,Georgia,02:  0-4,"105,209","105,330","168,697",G,"6,762,329",G,,,,,
13,Georgia,03:  5-9,"26,889","27,130","176,498",G,"6,120,241",G,,,,,
13,Georgia,04:  10-19,"16,232","16,848","216,138",G,"7,857,357",G,,,,,
13,Georgia,05:  <20,"148,330","149,308","561,333",G,"20,739,927",G,,,,,
13,Georgia,06:  20-99,"15,136","18,787","551,085",G,"21,119,535",G,,,,,
13,Georgia,07:  100-499,"4,040","9,578","439,119",G,"19,224,584",G,,,,,
13,Georgia,08:  <500,"167,506","177,673","1,551,537",G,"61,084,046",G,,,,,
13,Georgia,09:  500+,"4,095","42,932","1,999,626",G,"102,768,192",G,,,,,
15,Hawaii,01:  Total,"24,997","31,801","519,130",G,"20,847,140",G,,,,,
15,Hawaii,02:  0-4,"13,754","13,778","24,081",G,"991,709",G,,,,,
15,Hawaii,03:  5-9,"4,467","4,532","29,329",G,"1,014,074",G,,,,,
15,Hawaii,04:  10-19,"2,756","2,896","36,794",G,"1,291,827",G,,,,,
15,Hawaii,05:  <20,"20,977","21,206","90,204",G,"3,297,610",G,,,,,
15,Hawaii,06:  20-99,"2,450","3,448","95,226",G,"3,383,748",G,,,,,
15,Hawaii,07:  100-499,629,"1,916","82,366",G,"3,093,781",G,,,,,
15,Hawaii,08:  <500,"24,056","26,570","267,796",G,"9,775,139",G,,,,,
15,Hawaii,09:  500+,941,"5,231","251,334",G,"11,072,001",G,,,,,
16,Idaho,01:  Total,"36,793","43,816","530,490",G,"20,015,180",G,,,,,
16,Idaho,02:  0-4,"22,302","22,332","35,668",H,"1,239,809",G,,,,,
16,Idaho,03:  5-9,"5,979","6,020","39,402",G,"1,143,791",G,,,,,
16,Idaho,04:  10-19,"3,658","3,849","48,022",G,"1,461,434",G,,,,,
16,Idaho,05:  <20,"31,939","32,201","123,092",G,"3,845,034",G,,,,,
16,Idaho,06:  20-99,"2,829","3,900","98,376",G,"3,313,864",G,,,,,
16,Idaho,07:  100-499,757,"1,988","72,425",G,"2,524,425",G,,,,,
16,Idaho,08:  <500,"35,525","38,089","293,893",G,"9,683,323",G,,,,,
16,Idaho,09:  500+,"1,268","5,727","236,597",G,"10,331,857",G,,,,,
17,Illinois,01:  Total,"254,089","316,120","5,312,290",G,"273,437,956",G,,,,,
17,Illinois,02:  0-4,"156,555","156,760","245,172",G,"10,965,104",G,,,,,
17,Illinois,03:  5-9,"39,534","39,961","259,786",G,"10,139,496",G,,,,,
17,Illinois,04:  10-19,"24,454","25,566","326,663",G,"13,648,337",G,,,,,
17,Illinois,05:  <20,"220,543","222,287","831,621",G,"34,752,937",G,,,,,
17,Illinois,06:  20-99,"22,879","28,606","853,471",G,"38,613,041",G,,,,,
17,Illinois,07:  100-499,"6,083","14,950","756,903",G,"38,328,473",G,,,,,
17,Illinois,08:  <500,"249,505","265,843","2,441,995",G,"111,694,451",G,,,,,
17,Illinois,09:  500+,"4,584","50,277","2,870,295",G,"161,743,505",G,,,,,
18,Indiana,01:  Total,"108,309","143,826","2,602,895",G,"107,451,529",G,,,,,
18,Indiana,02:  0-4,"59,449","59,546","103,173",G,"3,577,611",G,,,,,
18,Indiana,03:  5-9,"19,290","19,483","126,859",G,"3,926,505",G,,,,,
18,Indiana,04:  10-19,"12,343","12,964","165,529",G,"5,465,281",G,,,,,
18,Indiana,05:  <20,"91,082","91,993","395,561",G,"12,969,397",G,,,,,
18,Indiana,06:  20-99,"11,057","14,553","411,143",G,"14,792,937",G,,,,,
18,Indiana,07:  100-499,"3,037","8,497","376,499",G,"15,176,366",G,,,,,
18,Indiana,08:  <500,"105,176","115,043","1,183,203",G,"42,938,700",G,,,,,
18,Indiana,09:  500+,"3,133","28,783","1,419,692",G,"64,512,829",G,,,,,
19,Iowa,01:  Total,"62,344","80,466","1,316,447",G,"52,562,772",G,,,,,
19,Iowa,02:  0-4,"35,780","35,848","60,930",G,"2,038,489",G,,,,,
19,Iowa,03:  5-9,"10,676","10,826","70,109",G,"2,144,826",G,,,,,
19,Iowa,04:  10-19,"6,636","7,122","88,035",G,"2,886,917",G,,,,,
19,Iowa,05:  <20,"53,092","53,796","219,074",G,"7,070,232",G,,,,,
19,Iowa,06:  20-99,"5,763","8,503","213,438",G,"7,718,682",G,,,,,
19,Iowa,07:  100-499,"1,619","5,535","208,776",G,"8,342,873",G,,,,,
19,Iowa,08:  <500,"60,474","67,834","641,288",G,"23,131,787",G,,,,,
19,Iowa,09:  500+,"1,870","12,632","675,159",G,"29,430,985",G,,,,,
20,Kansas,01:  Total,"58,219","74,055","1,178,062",G,"49,712,832",G,,,,,
20,Kansas,02:  0-4,"32,744","32,787","56,354",G,"1,926,052",G,,,,,
20,Kansas,03:  5-9,"9,996","10,106","65,582",G,"2,059,296",G,,,,,
20,Kansas,04:  10-19,"6,179","6,517","82,043",G,"2,851,301",G,,,,,
20,Kansas,05:  <20,"48,919","49,410","203,979",G,"6,836,649",G,,,,,
20,Kansas,06:  20-99,"5,542","7,618","203,149",G,"7,497,955",G,,,,,
20,Kansas,07:  100-499,"1,641","4,512","197,078",G,"8,096,585",G,,,,,
20,Kansas,08:  <500,"56,102","61,540","604,206",G,"22,431,189",G,,,,,
20,Kansas,09:  500+,"2,117","12,515","573,856",G,"27,281,643",G,,,,,
21,Kentucky,01:  Total,"68,827","91,418","1,535,417",G,"60,162,070",G,,,,,
21,Kentucky,02:  0-4,"38,769","38,813","68,154",G,"2,220,371",G,,,,,
21,Kentucky,03:  5-9,"11,935","12,056","78,635",G,"2,322,254",G,,,,,
21,Kentucky,04:  10-19,"7,276","7,668","96,783",G,"3,048,958",G,,,,,
21,Kentucky,05:  <20,"57,980","58,537","243,572",G,"7,591,583",G,,,,,
21,Kentucky,06:  20-99,"6,588","8,867","239,158",G,"8,536,485",G,,,,,
21,Kentucky,07:  100-499,"1,809","5,071","204,564",G,"7,721,195",G,,,,,
21,Kentucky,08:  <500,"66,377","72,475","687,294",G,"23,849,263",G,,,,,
21,Kentucky,09:  500+,"2,450","18,943","848,123",G,"36,312,807",G,,,,,
22,Louisiana,01:  Total,"81,289","104,976","1,717,797",G,"76,730,689",G,,,,,
22,Louisiana,02:  0-4,"44,000","44,058","77,572",G,"3,114,495",G,,,,,
22,Louisiana,03:  5-9,"14,877","15,042","97,805",G,"3,270,797",G,,,,,
22,Louisiana,04:  10-19,"9,251","9,697","123,199",G,"4,303,312",G,,,,,
22,Louisiana,05:  <20,"68,128","68,797","298,576",G,"10,688,604",G,,,,,
22,Louisiana,06:  20-99,"8,748","11,357","331,997",G,"12,606,893",G,,,,,
22,Louisiana,07:  100-499,"2,176","5,972","279,793",G,"12,598,080",G,,,,,
22,Louisiana,08:  <500,"79,052","86,126","910,366",G,"35,893,577",G,,,,,
22,Louisiana,09:  500+,"2,237","18,850","807,431",G,"40,837,112",G,,,,,
23,Maine,01:  Total,"33,292","40,369","492,690",G,"19,631,807",G,,,,,
23,Maine,02:  0-4,"20,616","20,644","31,760",G,"1,199,982",G,,,,,
23,Maine,03:  5-9,"5,269","5,328","34,569",G,"1,098,095",G,,,,,
23,Maine,04:  10-19,"3,133","3,302","41,877",G,"1,389,798",G,,,,,
23,Maine,05:  <20,"29,018","29,274","108,206",G,"3,687,875",G,,,,,
23,Maine,06:  20-99,"2,598","3,687","95,629",G,"3,369,995",G,,,,,
23,Maine,07:  100-499,609,"2,288","79,670",G,"3,014,739",G,,,,,
23,Maine,08:  <500,"32,225","35,249","283,505",G,"10,072,609",G,,,,,
23,Maine,09:  500+,"1,067","5,120","209,185",G,"9,559,198",G,,,,,
24,Maryland,01:  Total,"108,445","136,501","2,216,867",G,"114,337,860",G,,,,,
24,Maryland,02:  0-4,"62,356","62,443","104,564",G,"4,680,790",G,,,,,
24,Maryland,03:  5-9,"18,107","18,266","119,224",G,"4,747,845",G,,,,,
24,Maryland,04:  10-19,"11,526","11,957","153,378",G,"6,458,042",G,,,,,
24,Maryland,05:  <20,"91,989","92,666","377,166",G,"15,886,677",G,,,,,
24,Maryland,06:  20-99,"10,900","13,245","405,431",G,"18,695,681",G,,,,,
24,Maryland,07:  100-499,"2,768","6,601","333,403",G,"17,116,795",G,,,,,
24,Maryland,08:  <500,"105,657","112,512","1,116,000",G,"51,699,153",G,,,,,
24,Maryland,09:  500+,"2,788","23,989","1,100,867",G,"62,638,707",G,,,,,
25,Massachusetts,01:  Total,"140,226","173,575","3,087,030",G,"185,352,860",G,,,,,
25,Massachusetts,02:  0-4,"81,264","81,381","136,504",G,"6,886,131",G,,,,,
25,Massachusetts,03:  5-9,"24,134","24,367","158,228",G,"6,815,850",G,,,,,
25,Massachusetts,04:  10-19,"14,937","15,502","199,456",G,"9,179,790",G,,,,,
25,Massachusetts,05:  <20,"120,335","121,250","494,188",G,"22,881,771",G,,,,,
25,Massachusetts,06:  20-99,"13,241","16,057","493,534",G,"25,804,134",G,,,,,
25,Massachusetts,07:  100-499,"3,484","8,626","458,360",G,"26,466,970",G,,,,,
25,Massachusetts,08:  <500,"137,060","145,933","1,446,082",G,"75,152,875",G,,,,,
25,Massachusetts,09:  500+,"3,166","27,642","1,640,948",G,"110,199,985",G,,,,,
26,Michigan,01:  Total,"172,661","218,281","3,610,530",G,"165,444,213",G,,,,,
26,Michigan,02:  0-4,"99,263","99,391","165,398",G,"6,638,337",G,,,,,
26,Michigan,03:  5-9,"30,745","31,055","203,279",G,"7,003,224",G,,,,,
26,Michigan,04:  10-19,"19,125","20,022","256,126",G,"9,495,430",G,,,,,
26,Michigan,05:  <20,"149,133","150,468","624,803",G,"23,136,991",G,,,,,
26,Michigan,06:  20-99,"16,524","21,611","627,066",G,"25,130,104",G,,,,,
26,Michigan,07:  100-499,"3,809","11,114","545,626",G,"24,027,512",G,,,,,
26,Michigan,08:  <500,"169,466","183,193","1,797,495",G,"72,294,607",G,,,,,
26,Michigan,09:  500+,"3,195","35,088","1,813,035",G,"93,149,606",G,,,,,
27,Minnesota,01:  Total,"117,789","147,483","2,566,086",G,"126,186,474",G,,,,,
27,Minnesota,02:  0-4,"70,076","70,148","107,485",G,"4,559,098",G,,,,,
27,Minnesota,03:  5-9,"18,451","18,656","121,789",G,"4,315,383",G,,,,,
27,Minnesota,04:  10-19,"12,110","12,698","162,330",G,"5,809,982",G,,,,,
27,Minnesota,05:  <20,"100,637","101,502","391,604",G,"14,684,463",G,,,,,
27,Minnesota,06:  20-99,"11,468","14,894","437,088",G,"17,701,411",G,,,,,
27,Minnesota,07:  100-499,"2,937","8,578","401,670",G,"17,294,965",G,,,,,
27,Minnesota,08:  <500,"115,042","124,974","1,230,362",G,"49,680,839",G,,,,,
27,Minnesota,09:  500+,"2,747","22,509","1,335,724",G,"76,505,635",G,,,,,
28,Mississippi,01:  Total,"44,465","58,541","912,014",G,"32,776,761",G,,,,,
28,Mississippi,02:  0-4,"24,378","24,402","45,025",G,"1,423,015",G,,,,,
28,Mississippi,03:  5-9,"8,323","8,442","54,341",G,"1,542,155",G,,,,,
28,Mississippi,04:  10-19,"4,873","5,184","64,692",G,"1,951,981",G,,,,,
28,Mississippi,05:  <20,"37,574","38,028","164,058",G,"4,917,151",G,,,,,
28,Mississippi,06:  20-99,"4,041","5,482","146,761",G,"4,781,872",G,,,,,
28,Mississippi,07:  100-499,"1,125","3,216","121,412",G,"4,207,268",G,,,,,
28,Mississippi,08:  <500,"42,740","46,726","432,231",G,"13,906,291",G,,,,,
28,Mississippi,09:  500+,"1,725","11,815","479,783",G,"18,870,470",G,,,,,
29,Missouri,01:  Total,"120,469","153,945","2,404,701",G,"104,217,584",G,,,,,
29,Missouri,02:  0-4,"73,666","73,777","117,395",H,"3,734,871",G,,,,,
29,Missouri,03:  5-9,"18,526","18,703","121,635",G,"3,874,212",G,,,,,
29,Missouri,04:  10-19,"11,726","12,314","156,035",G,"5,207,107",G,,,,,
29,Missouri,05:  <20,"103,918","104,794","395,065",G,"12,816,190",G,,,,,
29,Missouri,06:  20-99,"10,898","14,603","407,709",G,"14,794,718",G,,,,,
29,Missouri,07:  100-499,"2,698","7,819","323,135",G,"13,259,722",G,,,,,
29,Missouri,08:  <500,"117,514","127,216","1,125,909",G,"40,870,630",G,,,,,
29,Missouri,09:  500+,"2,955","26,729","1,278,792",G,"63,346,954",G,,,,,
30,Montana,01:  Total,"31,810","36,791","363,650",G,"13,367,122",G,,,,,
30,Montana,02:  0-4,"20,041","20,061","31,082",G,"1,067,458",G,,,,,
30,Montana,03:  5-9,"5,316","5,363","35,014",G,"1,035,964",G,,,,,
30,Montana,04:  10-19,"2,926","3,093","38,821",G,"1,205,350",G,,,,,
30,Montana,05:  <20,"28,283","28,517","104,917",G,"3,308,772",G,,,,,
30,Montana,06:  20-99,"2,175","2,913","76,681",G,"2,513,070",G,,,,,
30,Montana,07:  100-499,505,"1,579","58,312",G,"2,195,399",G,,,,,
30,Montana,08:  <500,"30,963","33,009","239,910",G,"8,017,241",G,,,,,
30,Montana,09:  500+,847,"3,782","123,740",G,"5,349,881",G,,,,,
31,Nebraska,01:  Total,"42,507","52,991","851,128",G,"34,953,442",G,,,,,
31,Nebraska,02:  0-4,"24,702","24,736","41,033",H,"1,345,860",G,,,,,
31,Nebraska,03:  5-9,"7,088","7,179","46,369",G,"1,434,050",G,,,,,
31,Nebraska,04:  10-19,"4,308","4,532","57,177",G,"1,878,546",G,,,,,
31,Nebraska,05:  <20,"36,098","36,447","144,579",G,"4,658,456",G,,,,,
31,Nebraska,06:  20-99,"3,891","5,375","142,366",G,"5,077,304",G,,,,,
31,Nebraska,07:  100-499,"1,004","3,095","113,561",G,"4,630,946",G,,,,,
31,Nebraska,08:  <500,"40,993","44,917","400,506",G,"14,366,706",G,,,,,
31,Nebraska,09:  500+,"1,514","8,074","450,622",G,"20,586,736",G,,,,,
32,Nevada,01:  Total,"49,191","61,625","1,090,071",G,"43,673,405",G,,,,,
32,Nevada,02:  0-4,"28,300","28,326","43,535",G,"2,206,282",G,,,,,
32,Nevada,03:  5-9,"7,743","7,804","51,086",G,"1,800,869",G,,,,,
32,Nevada,04:  10-19,"4,987","5,194","65,882",G,"2,427,186",G,,,,,
32,Nevada,05:  <20,"41,030","41,324","160,503",G,"6,434,337",G,,,,,
32,Nevada,06:  20-99,"4,496","5,569","155,652",G,"5,864,920",G,,,,,
32,Nevada,07:  100-499,"1,505","3,126","133,949",G,"5,122,175",G,,,,,
32,Nevada,08:  <500,"47,031","50,019","450,104",G,"17,421,432",G,,,,,
32,Nevada,09:  500+,"2,160","11,606","639,967",G,"26,251,973",G,,,,,
33,New Hampshire,01:  Total,"30,389","37,396","563,323",G,"26,936,688",G,,,,,
33,New Hampshire,02:  0-4,"16,787","16,819","29,203",G,"1,266,340",G,,,,,
33,New Hampshire,03:  5-9,"5,349","5,389","35,296",G,"1,345,903",G,,,,,
33,New Hampshire,04:  10-19,"3,286","3,414","43,771",G,"1,764,753",G,,,,,
33,New Hampshire,05:  <20,"25,422","25,622","108,270",G,"4,376,996",G,,,,,
33,New Hampshire,06:  20-99,"2,884","3,555","101,034",G,"4,499,071",G,,,,,
33,New Hampshire,07:  100-499,781,"1,960","80,610",G,"3,690,608",G,,,,,
33,New Hampshire,08:  <500,"29,087","31,137","289,914",G,"12,566,675",G,,,,,
33,New Hampshire,09:  500+,"1,302","6,259","273,409",G,"14,370,013",G,,,,,
34,New Jersey,01:  Total,"194,052","230,600","3,526,716",G,"202,658,061",G,,,,,
34,New Jersey,02:  0-4,"119,718","119,829","202,649",G,"8,866,175",G,,,,,
34,New Jersey,03:  5-9,"31,742","31,993","207,447",G,"8,310,727",G,,,,,
34,New Jersey,04:  10-19,"18,782","19,359","250,114",G,"10,873,864",G,,,,,
34,New Jersey,05:  <20,"170,242","171,181","660,210",G,"28,050,766",G,,,,,
34,New Jersey,06:  20-99,"16,573","19,180","613,189",G,"29,293,555",G,,,,,
34,New Jersey,07:  100-499,"3,903","8,076","491,594",G,"26,100,384",G,,,,,
34,New Jersey,08:  <500,"190,718","198,437","1,764,993",G,"83,444,705",G,,,,,
34,New Jersey,09:  500+,"3,334","32,163","1,761,723",G,"119,213,356",G,,,,,
35,New Mexico,01:  Total,"34,702","43,748","602,632",G,"23,629,149",G,,,,,
35,New Mexico,02:  0-4,"19,169","19,195","33,133",G,"1,150,755",G,,,,,
35,New Mexico,03:  5-9,"5,891","5,948","38,648",G,"1,218,763",G,,,,,
35,New Mexico,04:  10-19,"3,794","3,945","50,522",G,"1,705,562",G,,,,,
35,New Mexico,05:  <20,"28,854","29,088","122,303",G,"4,075,080",G,,,,,
35,New Mexico,06:  20-99,"3,396","4,421","119,521",G,"4,157,892",G,,,,,
35,New Mexico,07:  100-499,896,"2,257","94,860",G,"3,740,889",G,,,,,
35,New Mexico,08:  <500,"33,146","35,766","336,684",G,"11,973,861",G,,,,,
35,New Mexico,09:  500+,"1,556","7,982","265,948",G,"11,655,288",G,,,,,
36,New York,01:  Total,"459,266","536,890","7,858,425",G,"492,706,483",G,,,,,
36,New York,02:  0-4,"300,750","301,012","491,820",G,"22,208,099",G,,,,,
36,New York,03:  5-9,"70,404","70,890","459,964",G,"18,703,670",G,,,,,
36,New York,04:  10-19,"41,129","42,411","549,049",G,"24,052,170",G,,,,,
36,New York,05:  <20,"412,283","414,313","1,500,833",G,"64,963,939",G,,,,,
36,New York,06:  20-99,"34,782","41,309","1,307,583",G,"67,063,847",G,,,,,
36,New York,07:  100-499,"7,653","19,477","1,160,066",G,"68,700,738",G,,,,,
