Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2014",,,,,,,,,,,,, release date: 9/29/2016
,,,,,,,,,,,,,
"SOURCE: 2014 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
00,United States,01:  Total,"5,825,458","7,563,084","121,069,944",G,"5,940,186,911",G,,,,,
00,United States,02:  0-4,"3,598,185","3,603,935","5,940,248",G,"251,757,114",G,,,,,
00,United States,03:  5-9,"998,953","1,010,467","6,570,776",G,"235,546,762",G,,,,,
00,United States,04:  10-19,"608,502","641,096","8,176,519",G,"309,924,445",G,,,,,
00,United States,05:  <20,"5,205,640","5,255,498","20,687,543",G,"797,228,321",G,,,,,
00,United States,06:  20-99,"513,179","690,583","20,121,588",G,"838,405,832",G,,,,,
00,United States,07:  100-499,"87,563","360,894","17,085,461",G,"803,652,747",G,,,,,
00,United States,08:  <500,"5,806,382","6,306,975","57,894,592",G,"2,439,286,900",G,,,,,
00,United States,09:  500+,"19,076","1,256,109","63,175,352",G,"3,500,900,011",G,,,,,
01,Alabama,01:  Total,"73,154","97,714","1,604,016",G,"64,291,502",G,,,,,
01,Alabama,02:  0-4,"39,562","39,608","73,102",G,"2,432,346",G,,,,,
01,Alabama,03:  5-9,"13,603","13,762","89,294",G,"2,801,306",G,,,,,
01,Alabama,04:  10-19,"8,215","8,646","109,479",G,"3,734,685",G,,,,,
01,Alabama,05:  <20,"61,380","62,016","271,875",G,"8,968,337",G,,,,,
01,Alabama,06:  20-99,"7,360","10,089","270,725",G,"10,105,607",G,,,,,
01,Alabama,07:  100-499,"1,974","5,286","229,614",G,"8,942,163",G,,,,,
01,Alabama,08:  <500,"70,714","77,391","772,214",G,"28,016,107",G,,,,,
01,Alabama,09:  500+,"2,440","20,323","831,802",G,"36,275,395",G,,,,,
02,Alaska,01:  Total,"16,841","20,752","266,886",G,"15,275,131",G,,,,,
02,Alaska,02:  0-4,"10,081","10,125","15,106",G,"833,597",G,,,,,
02,Alaska,03:  5-9,"2,839","2,885","18,847",G,"821,296",G,,,,,
02,Alaska,04:  10-19,"1,735","1,857","22,849",G,"1,093,823",G,,,,,
02,Alaska,05:  <20,"14,655","14,867","56,802",G,"2,748,716",G,,,,,
02,Alaska,06:  20-99,"1,220","1,729","42,704",G,"2,076,749",G,,,,,
02,Alaska,07:  100-499,349,"1,141","43,255",G,"2,326,608",G,,,,,
02,Alaska,08:  <500,"16,224","17,737","142,761",G,"7,152,073",G,,,,,
